,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.0,0.0,0.0,17.0,28.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,59.0,0.0,21.0,0.0,4.0
cubefs.csv,24.0,2.0,0.0,13.0,54.0,1.0,0.0,1.0,1.0,11.0,0.0,0.0,6.0,1.0,18.0,0.0,0.0
gwanted.csv,0.0,2.0,0.0,155.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,62.0,1.0,0.0
iaml.csv,2.0,0.0,0.0,15.0,14.0,2.0,0.0,3.0,0.0,14.0,0.0,1.0,59.0,0.0,10.0,0.0,1.0
java-gnome.csv,9.0,3.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,59.0,0.0,6.0,0.0,1.0
mecat.csv,73.0,1.0,0.0,7.0,68.0,123.0,49.0,316.0,0.0,0.0,110.0,0.0,59.0,62.0,0.0,97.0,50.0
mvdsv.csv,73.0,0.0,139.0,155.0,0.0,123.0,0.0,0.0,0.0,163.0,110.0,72.0,59.0,62.0,0.0,97.0,50.0
openwbem.csv,18.0,0.0,0.0,17.0,24.0,0.0,0.0,2.0,0.0,33.0,0.0,0.0,59.0,0.0,31.0,0.0,1.0
orc.csv,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,21.0,0.0,2.0,59.0,0.0,10.0,1.0,0.0
plato.csv,3.0,0.0,0.0,16.0,68.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,16.0,0.0,26.0,0.0,3.0
rodin-b-sharp.csv,73.0,2.0,0.0,0.0,21.0,1.0,0.0,0.0,1.0,25.0,0.0,0.0,59.0,62.0,5.0,0.0,2.0
ta3d.csv,2.0,7.0,0.0,16.0,13.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,6.0,0.0,27.0,3.0,0.0
tycho.csv,4.0,0.0,0.0,16.0,38.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,59.0,0.0,21.0,0.0,2.0
umber.csv,0.0,3.0,0.0,73.0,47.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,9.0,4.0,0.0
vienna-add-in.csv,7.0,4.0,0.0,28.0,16.0,0.0,0.0,1.0,1.0,20.0,0.0,0.0,14.0,0.0,26.0,0.0,3.0
wpdev.csv,4.0,0.0,0.0,17.0,28.0,0.0,0.0,1.0,2.0,14.0,0.0,0.0,14.0,0.0,25.0,0.0,3.0
