,empyrean.csv,amanda.csv,nutz.csv,yafdotnet.csv,mplayer-ce.csv
amanda.csv,0.58,0.39,0.69,0.83,0.88
empyrean.csv,0.39,1.0,1.0,1.0,1.0
mplayer-ce.csv,0.88,0.52,0.62,0.71,0.55
nutz.csv,0.7,0.87,0.35,0.75,0.8
yafdotnet.csv,0.72,0.47,0.48,0.36,0.71
