,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.16,0.86,0.24,0.53,0.33,0.36,0.0,0.59,0.1,0.11,0.34
gbif-providertoolkit.csv,0.55,0.0,0.4,0.04,0.6,0.0,0.05,0.49,0.6,0.35,0.31
geochat.csv,0.22,0.14,0.05,0.32,0.17,0.63,0.46,0.18,0.07,0.35,0.57
heekscad.csv,0.77,0.42,0.68,0.61,0.64,0.76,0.53,0.42,0.74,0.51,0.5
igarden.csv,0.44,0.43,0.41,0.69,0.47,0.78,0.44,0.43,0.27,0.58,0.2
jstock.csv,0.65,0.62,0.66,0.65,0.48,0.81,0.24,0.88,0.51,0.61,0.37
levent.csv,0.55,0.15,0.0,0.0,0.61,0.64,0.67,0.5,0.0,0.0,0.0
piccolo2d.csv,0.15,0.0,0.44,0.07,0.65,0.83,0.53,0.42,0.25,0.53,0.24
pnotepad.csv,0.61,0.77,0.62,0.27,0.32,0.6,0.55,0.69,0.84,0.57,0.57
trinitycore.csv,0.34,0.61,0.43,0.67,0.25,0.65,0.07,0.47,0.33,0.68,0.09
xcsoar.csv,0.69,0.29,0.69,0.63,0.66,0.57,0.39,0.36,0.34,0.57,0.41
