,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.04,0.23,0.15,0.44,0.27,0.12,0.0,0.49,0.1,0.09,0.26
gbif-providertoolkit.csv,0.6,0.25,0.48,0.03,0.22,0.09,0.0,0.3,0.6,0.52,0.36
geochat.csv,0.45,0.21,0.14,0.49,0.22,0.33,0.74,0.33,0.2,0.34,0.22
heekscad.csv,0.28,0.25,0.34,0.4,0.55,0.56,0.48,0.3,0.3,0.36,0.51
igarden.csv,0.09,0.17,0.07,0.36,0.22,0.4,0.17,0.16,0.1,0.27,0.19
jstock.csv,0.23,0.4,0.32,0.51,0.13,0.33,0.0,0.26,0.1,0.37,0.29
levent.csv,0.23,0.02,0.0,0.0,0.72,0.71,0.39,0.19,0.0,0.0,0.0
piccolo2d.csv,0.02,0.0,0.04,0.01,0.3,0.24,0.26,0.23,0.1,0.24,0.16
pnotepad.csv,0.13,0.48,0.72,0.93,0.91,0.77,0.52,0.51,0.0,0.36,0.67
trinitycore.csv,0.04,0.44,0.24,0.6,0.18,0.48,0.04,0.51,0.2,0.36,0.13
xcsoar.csv,0.28,0.31,0.25,0.43,0.27,0.77,0.26,0.07,0.0,0.34,0.3
