,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,7.0,0.0,1.0,11.0,2.0,0.0,39.0,44.0,3.0,16.0,0.0,103.0
emulemorph.csv,2.0,3.0,0.0,169.0,9.0,60.0,61.0,86.0,1.0,58.0,0.0,103.0
jaxen.csv,7.0,0.0,2.0,15.0,14.0,0.0,61.0,4.0,3.0,11.0,0.0,103.0
jvcl.csv,0.0,0.0,3.0,8.0,6.0,0.0,61.0,22.0,14.0,1.0,0.0,103.0
m-m-m.csv,4.0,0.0,9.0,15.0,13.0,0.0,61.0,69.0,21.0,12.0,0.0,52.0
motu.csv,3.0,0.0,6.0,22.0,15.0,0.0,61.0,70.0,2.0,1.0,0.0,74.0
nh3d.csv,4.0,0.0,158.0,24.0,15.0,0.0,61.0,70.0,109.0,13.0,0.0,92.0
sarasvati.csv,0.0,12.0,9.0,16.0,0.0,0.0,15.0,65.0,109.0,1.0,2.0,16.0
wgs-assembler.csv,2.0,0.0,10.0,9.0,7.0,0.0,54.0,11.0,43.0,5.0,0.0,103.0
zabbix.csv,2.0,355.0,10.0,26.0,2.0,0.0,61.0,86.0,27.0,8.0,2.0,103.0
