,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.41,0.75,0.38,0.45,0.62,0.43,1.0,0.2,0.33,0.23,0.68,0.0
emulemorph.csv,0.21,0.25,0.44,0.0,0.54,0.0,0.0,0.0,0.83,0.0,0.03,0.0
jaxen.csv,0.85,1.0,0.81,0.73,0.83,0.69,0.0,1.0,0.83,0.92,0.51,0.0
jvcl.csv,0.05,0.5,0.62,0.27,0.46,0.06,0.0,0.4,0.33,0.15,0.26,0.0
m-m-m.csv,0.44,0.75,0.62,0.91,0.79,0.84,1.0,1.0,0.67,1.0,0.82,1.0
motu.csv,0.59,1.0,1.0,0.45,0.92,0.43,0.0,1.0,0.67,0.69,0.71,1.0
nh3d.csv,0.56,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
sarasvati.csv,0.28,0.5,0.31,0.73,0.25,0.16,1.0,0.8,0.0,0.46,0.43,1.0
wgs-assembler.csv,0.54,1.0,0.75,0.91,0.54,0.14,1.0,0.6,0.5,1.0,0.38,0.0
zabbix.csv,0.79,0.0,1.0,0.45,0.42,0.35,0.0,0.0,0.17,0.54,0.38,0.0
