,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.79,0.77,0.54,0.61,0.55,0.42,0.47,0.51,0.62,0.7,0.43,0.89
emulemorph.csv,0.94,0.92,0.68,0.93,0.68,0.0,0.8,0.75,0.57,0.75,0.5,0.48
jaxen.csv,0.36,0.54,0.37,0.56,0.43,0.74,0.39,0.85,0.46,0.43,0.79,0.33
jvcl.csv,0.67,0.75,0.68,0.93,0.64,0.67,0.83,0.59,0.85,0.75,0.95,0.92
m-m-m.csv,0.56,0.45,0.36,0.45,0.39,0.68,0.37,0.41,0.46,0.39,0.35,0.5
motu.csv,0.35,0.41,0.34,0.53,0.39,0.58,0.75,0.4,0.36,0.5,0.34,0.33
nh3d.csv,0.52,0.83,0.0,0.41,0.38,0.56,0.37,0.4,0.75,0.37,0.36,0.28
sarasvati.csv,0.95,0.58,0.45,0.66,0.63,0.7,0.69,0.41,0.95,0.44,0.41,0.94
wgs-assembler.csv,0.55,0.57,0.38,0.43,0.44,0.86,0.4,0.63,0.47,0.37,0.53,0.67
zabbix.csv,0.33,0.96,0.32,0.69,0.54,0.81,0.91,0.84,0.55,0.6,0.83,0.68
