,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.39,0.03,0.15,0.12,0.48,0.57,0.05,0.04,0.05,0.18,0.44,0.0
emulemorph.csv,0.29,0.12,0.26,0.0,0.42,0.0,0.0,0.0,0.24,0.0,0.06,0.0
jaxen.csv,0.5,0.02,0.22,0.14,0.4,0.74,0.0,0.56,0.1,0.39,0.58,0.0
jvcl.csv,0.1,0.5,0.33,0.23,0.39,0.11,0.0,0.11,0.15,0.24,0.4,0.0
m-m-m.csv,0.39,0.03,0.13,0.14,0.35,0.88,0.03,0.11,0.1,0.38,0.5,0.04
motu.csv,0.45,0.04,0.21,0.08,0.4,0.59,0.0,0.11,0.12,0.55,0.51,0.02
nh3d.csv,0.47,0.8,0.0,0.12,0.41,0.91,0.03,0.11,0.0,0.36,0.57,0.02
sarasvati.csv,0.37,0.03,0.08,0.24,0.22,0.26,0.12,0.1,0.0,0.32,0.34,0.11
wgs-assembler.csv,0.52,0.03,0.17,0.16,0.32,0.24,0.04,0.25,0.09,0.44,0.34,0.0
zabbix.csv,0.51,0.0,0.19,0.11,0.33,0.5,0.0,0.0,0.05,0.33,0.5,0.0
