,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.25,0.2,0.25,0.23,0.29,0.43,0.23,0.21,0.15,0.34,0.23,0.22,0.0
aubit4gl.csv,0.4,0.21,0.63,0.33,0.43,0.52,0.02,0.18,0.21,0.63,0.52,0.41,0.01
bionote.csv,0.05,0.02,0.02,0.0,0.05,0.0,0.1,0.03,0.0,0.03,0.0,0.0,0.01
liferea.csv,0.38,0.21,0.37,0.23,0.35,0.02,0.5,0.32,0.06,0.34,0.31,0.08,0.29
opensim4opencog.csv,0.03,0.07,0.0,0.02,0.04,0.05,0.4,0.0,0.0,0.0,0.33,0.08,0.05
pclasses.csv,0.14,0.0,0.0,0.33,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.11,0.0
plearn.csv,0.01,0.3,0.35,0.44,0.35,0.32,0.67,0.36,0.34,0.21,0.19,0.11,0.66
psrchive.csv,0.11,0.16,0.06,0.12,0.0,0.09,0.04,0.05,0.04,0.05,0.17,0.0,0.04
re2c.csv,0.19,0.32,0.0,0.48,0.21,0.3,0.71,0.12,0.36,0.39,0.19,0.25,0.77
rebecca-aiml.csv,0.16,0.16,0.16,0.23,0.29,0.45,0.69,0.28,0.43,0.37,0.19,0.0,0.3
thrust.csv,0.12,0.16,0.22,0.23,0.09,0.25,0.54,0.41,0.02,0.37,0.37,0.16,0.27
tzod.csv,0.27,0.11,0.24,0.0,0.31,0.7,0.77,0.35,0.04,0.37,0.52,0.18,0.79
yaprm.csv,0.37,0.18,0.33,0.35,0.32,0.16,0.56,0.27,0.28,0.03,0.23,0.23,0.05
