,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.48,0.73,0.33,0.0,0.77,0.47,0.23,0.55,0.54,0.52,0.95,0.02
archive-crawler.csv,0.1,0.23,0.11,0.12,0.77,0.5,0.36,0.07,0.11,0.91,0.14,0.07
blue-c.csv,0.93,0.87,1.0,0.12,0.86,1.0,0.51,0.55,0.81,0.48,0.62,0.81
dynalloy.csv,0.59,1.0,1.0,0.0,0.66,0.37,0.4,0.31,0.53,0.57,0.62,0.88
jcae.csv,0.14,0.04,0.89,0.0,0.0,0.1,0.06,0.0,0.02,0.22,0.19,0.0
kmatplot.csv,1.0,0.19,0.11,0.25,0.26,0.1,0.22,0.1,0.18,0.17,0.0,0.5
mscore.csv,0.62,0.48,1.0,0.44,0.51,0.47,0.98,0.4,0.53,0.61,0.48,0.76
nosleepsoftware.csv,0.28,0.0,0.33,1.0,0.2,0.07,0.38,0.17,0.07,0.3,0.1,0.5
openmalaria.csv,0.83,0.79,1.0,0.56,0.46,0.63,0.69,1.0,0.62,0.74,0.62,0.81
popeye-chess.csv,0.86,0.31,0.89,0.69,0.94,0.5,0.64,0.62,0.51,0.57,0.62,0.71
riff-evolve.csv,0.76,0.56,0.67,0.25,0.69,0.53,0.6,0.52,0.97,0.57,0.76,0.79
virtuoso.csv,0.86,0.77,1.0,1.0,0.14,1.0,0.82,0.81,0.75,0.7,0.71,0.95
