,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,stemkit.csv,zabbix.csv,carabiner.csv
anaxagora.csv,0.69,0.94,0.44,0.34,0.52,0.96,0.63,0.89,0.61,0.92,0.97,0.76,0.44,0.64,0.52,0.63,0.96,0.51,0.62,0.94
blogentis.csv,0.92,0.48,0.87,0.59,0.8,0.92,0.73,0.38,0.61,0.9,0.39,0.8,0.58,0.55,0.53,0.82,0.95,0.92,0.95,0.8
carabiner.csv,0.54,0.34,0.6,0.32,0.5,0.52,0.49,0.5,0.46,0.48,0.39,0.49,0.57,0.44,0.45,0.41,0.46,0.5,0.55,0.64
continuum-ide.csv,0.0,0.75,0.95,0.67,0.89,0.95,0.83,0.83,0.9,0.67,0.98,0.7,0.93,0.56,0.59,0.86,0.88,0.8,0.9,0.8
emulemorph.csv,0.0,0.89,0.0,0.75,0.67,0.97,0.86,0.91,0.89,0.83,0.91,0.0,0.83,0.0,0.8,0.83,0.75,0.92,0.5,0.83
gtad.csv,0.5,0.92,0.96,0.89,0.5,0.75,0.89,0.0,0.67,0.67,0.89,0.0,0.5,0.83,0.5,0.83,0.83,0.67,0.67,0.67
htmlunit.csv,0.56,0.37,0.59,0.34,0.92,0.59,0.61,0.62,0.92,0.4,0.62,0.9,0.85,0.5,0.53,0.41,0.62,0.86,0.9,0.62
jaxen.csv,0.63,0.46,0.99,0.51,0.47,0.49,0.59,0.78,0.93,0.49,0.6,0.83,0.53,0.52,0.45,0.71,0.56,0.53,0.97,0.81
jsr308-langtools.csv,0.41,0.32,0.46,0.29,0.44,0.59,0.47,0.35,0.44,0.67,0.64,0.52,0.4,0.37,0.31,0.44,0.46,0.61,0.57,0.61
jvcl.csv,0.0,0.0,0.0,0.93,0.0,0.91,0.91,0.0,0.86,0.86,0.92,0.93,0.0,0.0,0.0,0.67,0.95,0.0,0.0,0.89
kaffeine.csv,0.36,0.32,0.51,0.32,0.4,0.7,0.52,0.45,0.38,0.46,0.39,0.68,0.41,0.46,0.33,0.38,0.4,0.37,0.35,0.55
m-m-m.csv,0.4,0.61,0.52,0.32,0.41,0.41,0.4,0.63,0.48,0.44,0.39,0.42,0.42,0.45,0.36,0.37,0.38,0.41,0.37,0.4
motu.csv,0.8,0.94,0.46,0.69,0.83,0.88,0.92,0.71,0.88,0.8,0.77,0.85,0.83,0.8,0.89,0.77,0.89,0.75,0.8,0.75
nh3d.csv,0.5,0.0,0.75,0.94,0.83,0.95,0.92,0.75,0.93,0.58,0.95,0.94,0.95,0.61,0.5,0.67,0.87,0.91,0.92,0.88
sarasvati.csv,0.79,0.67,0.0,0.82,0.67,0.91,0.0,0.75,0.67,0.5,0.9,0.85,0.0,0.91,0.86,0.83,0.92,0.0,0.89,0.5
stemkit.csv,0.75,0.92,0.89,0.47,0.0,0.83,0.8,0.5,0.67,0.0,0.92,0.0,0.89,0.67,0.0,0.83,0.83,0.83,0.75,0.0
taokgame.csv,0.9,0.5,0.0,0.95,0.67,0.92,0.92,0.0,0.9,0.89,0.83,0.83,0.65,0.89,0.75,0.75,0.95,0.67,0.93,0.67
wgs-assembler.csv,0.88,0.64,0.9,0.49,0.75,0.93,0.59,0.71,0.84,0.9,0.77,0.91,0.74,0.5,0.82,0.63,0.9,0.5,0.97,0.86
zabbix.csv,0.35,0.34,0.51,0.3,0.43,0.45,0.46,0.57,0.42,0.52,0.38,0.44,0.43,0.45,0.35,0.4,0.42,0.43,0.69,0.53
