,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,stemkit.csv,zabbix.csv,carabiner.csv
anaxagora.csv,0.0,0.21,0.25,0.81,0.55,0.09,0.33,0.18,0.6,0.0,0.15,0.4,0.83,0.47,0.12,0.54,1.0,0.5,0.46,0.09
blogentis.csv,0.0,0.67,0.75,0.38,0.27,0.27,0.92,0.22,0.0,1.0,0.69,0.0,0.5,0.33,0.59,0.23,0.24,0.17,0.17,0.09
carabiner.csv,0.5,0.97,0.75,0.81,0.69,0.55,0.71,0.22,0.3,1.0,0.68,0.8,0.5,0.77,0.59,0.62,0.48,0.5,0.48,1.0
continuum-ide.csv,0.0,0.05,0.0,0.31,0.1,0.18,0.25,0.1,0.1,1.0,0.23,0.4,0.17,0.43,1.0,0.23,0.29,0.0,0.05,0.09
emulemorph.csv,0.0,0.05,0.0,0.0,0.04,0.0,0.12,0.18,0.0,0.0,0.01,0.0,1.0,0.0,0.06,0.0,0.05,0.33,0.02,0.0
gtad.csv,1.0,0.13,0.0,0.0,0.04,0.0,0.25,0.0,0.0,0.0,0.09,0.0,0.33,0.17,0.0,0.23,0.1,0.0,0.05,0.09
htmlunit.csv,0.5,0.79,0.75,0.75,0.22,0.91,0.38,0.12,0.1,1.0,0.91,0.4,0.67,0.57,0.41,0.92,0.38,0.17,0.12,0.36
jaxen.csv,0.5,0.46,0.25,0.5,0.82,0.73,0.58,0.53,0.7,1.0,0.47,1.0,0.83,0.6,0.53,0.15,0.48,0.5,0.35,0.27
jsr308-langtools.csv,0.5,0.74,0.25,0.94,0.51,0.55,0.42,0.25,0.3,0.0,0.44,0.8,0.33,1.0,0.71,0.85,0.57,0.33,0.45,0.41
jvcl.csv,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0,0.1,0.0,0.07,0.2,0.0,0.0,0.06,0.0,0.05,0.0,0.0,0.05
kaffeine.csv,0.5,1.0,1.0,0.88,1.0,0.27,0.62,0.41,1.0,1.0,0.69,0.2,1.0,0.63,0.94,0.69,0.76,0.83,0.97,0.59
m-m-m.csv,1.0,0.44,1.0,1.0,0.98,1.0,0.83,1.0,0.4,1.0,0.9,1.0,0.83,0.87,0.94,0.85,0.9,0.83,0.82,1.0
motu.csv,0.5,0.21,0.25,0.31,0.12,0.18,0.25,0.14,0.1,0.0,0.37,0.4,0.0,0.27,0.18,1.0,0.29,0.17,0.08,0.09
nh3d.csv,0.0,0.0,1.0,0.06,0.1,0.36,0.21,0.08,0.9,1.0,0.18,0.4,0.5,0.37,0.41,0.31,0.33,0.0,0.18,0.09
sarasvati.csv,0.5,0.08,0.0,0.19,0.06,1.0,0.0,0.08,0.1,1.0,0.06,0.6,0.0,0.17,0.18,0.15,0.19,0.0,0.11,0.0
stemkit.csv,0.0,0.18,0.0,0.62,0.02,0.09,0.04,0.04,0.0,0.0,0.08,0.0,0.0,0.07,0.06,0.15,0.1,1.0,0.03,0.0
taokgame.csv,0.5,0.03,0.0,0.19,0.06,0.09,0.12,0.0,1.0,0.0,0.01,0.0,0.0,0.17,0.12,0.08,0.19,0.0,0.18,0.05
wgs-assembler.csv,0.0,0.92,0.75,0.38,0.24,0.36,0.62,0.12,0.2,1.0,0.3,0.0,0.17,0.5,0.24,0.38,0.43,0.5,0.38,0.14
zabbix.csv,1.0,0.97,1.0,0.94,0.92,0.82,0.62,0.8,0.6,1.0,0.87,1.0,1.0,0.9,0.82,0.85,0.95,0.83,0.98,0.59
