,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,0.73,0.65,0.61,0.5,0.44,0.64,0.47,0.75,0.58,0.33,0.41,0.69
gdis.csv,0.81,0.88,0.61,0.52,0.75,0.55,0.43,0.5,0.77,0.0,0.54,0.73
kml.csv,0.73,1.0,0.99,0.54,0.78,0.82,1.0,1.0,0.63,1.0,0.81,1.0
ppcboot.csv,0.96,1.0,0.89,0.58,0.94,0.73,0.83,0.88,0.82,1.0,0.73,0.97
repositorium.csv,0.12,0.02,0.01,0.14,0.17,0.82,0.04,0.12,0.23,1.0,0.46,0.39
rsyslog.csv,0.81,0.78,0.75,0.49,0.42,1.0,0.47,0.38,0.7,1.0,0.57,1.0
simplewebservices.csv,0.92,0.88,0.94,0.97,0.92,0.73,0.79,0.62,0.96,1.0,0.92,0.7
ultimairis.csv,0.96,1.0,0.88,0.94,1.0,0.36,0.68,1.0,0.93,0.0,0.3,0.98
wow-qrsk.csv,0.08,0.48,0.86,0.27,0.19,0.0,0.02,0.12,0.05,1.0,0.03,0.21
wxstudio.csv,0.46,0.18,0.29,0.51,0.28,0.64,0.47,0.0,0.37,0.0,0.7,0.01
xbg.csv,0.65,0.02,0.13,0.72,0.31,0.18,0.51,0.88,0.28,0.0,0.22,0.63
xqilla.csv,0.04,0.08,0.33,0.1,0.11,0.36,0.17,0.0,0.23,1.0,0.27,0.14
