,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,1.0,0.3,0.05,0.08,0.17,0.16,0.0,0.18,0.25,0.15,0.38,0.1
bigdata.csv,0.25,0.92,0.18,0.54,0.37,0.39,1.0,0.91,0.62,1.0,1.0,0.57
calcubetimer.csv,0.62,0.92,0.27,1.0,0.85,0.98,1.0,0.82,1.0,0.73,0.38,0.68
jas.csv,0.25,0.12,0.41,0.31,0.27,0.23,0.6,0.09,0.62,0.37,1.0,0.22
jbpm.csv,0.06,0.05,0.18,0.15,0.92,0.12,0.2,0.09,0.0,0.22,0.62,0.05
jgossipforum.csv,0.0,0.03,0.0,0.0,0.23,0.02,1.0,0.18,0.12,0.05,0.38,0.0
joustsim.csv,0.12,0.52,0.23,0.23,0.21,0.21,0.6,0.91,0.75,0.41,0.62,0.3
madman.csv,0.12,0.18,0.5,0.0,0.04,0.11,0.0,0.09,0.88,0.07,0.0,0.1
mule.csv,0.38,0.97,0.18,0.38,0.58,0.3,0.6,0.82,0.12,0.32,0.62,0.48
nunit.csv,0.06,0.35,0.68,0.31,0.48,0.75,0.6,0.36,0.38,0.33,0.38,0.92
piccolo2d.csv,0.25,0.08,0.0,0.92,0.58,0.02,0.2,0.27,0.0,0.07,0.38,0.02
sblim.csv,0.25,0.12,0.95,0.31,0.15,0.09,0.0,0.09,0.0,0.03,0.0,0.15
