,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.02,0.74,0.97,0.94,0.84,0.84,1.01,0.82,0.76,0.89,0.64,0.91
bigdata.csv,0.84,0.9,0.92,0.63,0.7,0.66,0.95,0.33,0.95,0.05,0.94,0.55
calcubetimer.csv,0.74,0.83,0.89,0.73,0.68,0.02,0.63,0.58,0.63,0.75,0.8,0.76
jas.csv,0.8,0.89,0.61,0.7,0.75,0.92,0.41,0.91,0.72,0.7,0.0,0.78
jbpm.csv,0.94,0.96,0.83,0.85,0.08,0.91,0.8,0.91,1.01,0.83,0.4,0.95
jgossipforum.csv,1.05,0.97,1.0,1.0,0.78,0.98,0.0,0.82,0.88,0.95,0.63,1.0
joustsim.csv,0.91,0.6,0.79,0.78,0.79,0.79,0.43,0.09,0.59,0.72,0.7,0.71
madman.csv,0.88,0.82,0.51,1.0,0.96,0.89,1.0,0.91,0.12,0.93,1.0,0.9
mule.csv,0.68,0.03,0.84,0.64,0.58,0.7,0.54,0.28,0.88,0.7,0.4,0.55
nunit.csv,0.95,0.66,0.63,0.86,0.58,0.35,0.43,0.72,0.69,0.8,0.63,0.08
piccolo2d.csv,0.79,0.93,1.0,0.08,0.62,0.98,0.81,0.87,1.0,0.93,0.91,0.98
sblim.csv,0.75,0.89,0.05,0.69,0.85,0.91,1.0,0.91,1.0,0.97,1.0,0.85
