,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.94,0.66,0.06,0.06,0.12,1.0,0.0,0.25,0.29,0.81,0.18,0.15
bigdata.csv,0.14,0.61,0.1,0.17,0.14,0.96,0.02,0.34,0.1,0.99,0.07,0.3
calcubetimer.csv,0.2,0.63,0.12,0.18,0.15,1.0,0.03,0.21,0.21,0.88,0.05,0.21
jas.csv,0.18,0.59,0.41,0.29,0.18,0.87,0.12,0.33,0.14,0.9,1.0,0.47
jbpm.csv,0.2,0.47,0.25,0.29,1.0,0.88,0.07,0.2,0.0,0.84,0.25,0.15
jgossipforum.csv,0.0,0.8,0.0,0.0,0.24,1.0,0.83,1.0,1.0,1.0,0.5,0.0
joustsim.csv,0.11,0.68,0.25,0.23,0.22,1.0,0.08,1.0,0.19,0.88,0.07,0.39
madman.csv,0.25,0.79,0.61,0.0,0.1,1.0,0.0,0.14,1.0,1.0,0.0,0.44
mule.csv,0.26,0.99,0.21,0.28,0.17,1.0,0.04,0.41,0.33,0.92,0.23,0.42
nunit.csv,0.1,0.8,0.25,0.09,0.2,0.98,0.08,0.17,0.18,0.85,0.25,0.97
piccolo2d.csv,0.2,0.55,0.0,1.0,0.15,1.0,0.04,0.09,0.0,0.9,0.04,0.1
sblim.csv,0.44,0.65,0.91,0.57,0.38,1.0,0.0,1.0,0.0,0.88,0.0,0.35
