,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.97,0.41,0.05,0.07,0.14,0.28,0.0,0.21,0.27,0.25,0.24,0.12
bigdata.csv,0.18,0.73,0.13,0.25,0.21,0.56,0.05,0.5,0.18,0.99,0.13,0.4
calcubetimer.csv,0.3,0.75,0.17,0.3,0.25,0.99,0.07,0.34,0.34,0.8,0.09,0.32
jas.csv,0.21,0.2,0.41,0.3,0.21,0.37,0.19,0.14,0.23,0.52,1.0,0.31
jbpm.csv,0.1,0.09,0.21,0.2,0.96,0.22,0.1,0.13,0.0,0.35,0.36,0.08
jgossipforum.csv,0.0,0.05,0.0,0.0,0.24,0.04,0.91,0.31,0.22,0.1,0.43,0.0
joustsim.csv,0.12,0.59,0.24,0.23,0.22,0.35,0.15,0.95,0.3,0.56,0.12,0.34
madman.csv,0.17,0.29,0.55,0.0,0.06,0.19,0.0,0.11,0.93,0.14,0.0,0.16
mule.csv,0.31,0.98,0.2,0.32,0.26,0.47,0.07,0.55,0.18,0.48,0.33,0.45
nunit.csv,0.08,0.49,0.36,0.14,0.28,0.85,0.14,0.23,0.24,0.47,0.3,0.95
piccolo2d.csv,0.22,0.13,0.0,0.96,0.24,0.04,0.07,0.14,0.0,0.13,0.07,0.04
sblim.csv,0.32,0.2,0.93,0.4,0.22,0.16,0.0,0.17,0.0,0.05,0.0,0.21
