,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,1.0,0.34,0.06,0.1,0.2,0.19,0.0,0.21,0.29,0.18,0.43,0.12
bigdata.csv,0.28,0.37,0.21,0.55,0.41,0.43,0.21,0.85,0.34,0.99,0.24,0.58
calcubetimer.csv,0.55,0.49,0.3,0.65,0.65,0.98,0.75,0.7,0.75,0.57,0.4,0.56
jas.csv,0.29,0.14,0.46,0.36,0.31,0.26,0.64,0.11,0.55,0.41,1.0,0.26
jbpm.csv,0.07,0.06,0.21,0.18,0.93,0.14,0.24,0.11,0.0,0.25,0.66,0.06
jgossipforum.csv,0.0,0.04,0.0,0.0,0.27,0.02,1.0,0.22,0.15,0.06,0.43,0.0
joustsim.csv,0.14,0.54,0.27,0.27,0.25,0.25,0.64,0.93,0.67,0.44,0.56,0.35
madman.csv,0.15,0.21,0.55,0.0,0.05,0.13,0.0,0.11,0.9,0.09,0.0,0.12
mule.csv,0.42,0.97,0.21,0.43,0.59,0.35,0.61,0.81,0.15,0.36,0.66,0.52
nunit.csv,0.07,0.4,0.62,0.33,0.52,0.75,0.64,0.4,0.42,0.36,0.43,0.93
piccolo2d.csv,0.29,0.1,0.0,0.93,0.57,0.02,0.24,0.3,0.0,0.09,0.37,0.02
sblim.csv,0.29,0.15,0.96,0.36,0.18,0.11,0.0,0.11,0.0,0.04,0.0,0.18
