,array4j.csv,mule.csv,sblim.csv,piccolo2d.csv,jbpm.csv,calcubetimer.csv,jgossipforum.csv,joustsim.csv,madman.csv,bigdata.csv,jas.csv,nunit.csv
array4j.csv,0.94,0.68,0.94,0.94,0.99,0.89,0.97,0.88,0.86,0.98,0.94,0.96
bigdata.csv,0.54,0.41,0.62,0.5,0.59,0.43,0.41,0.38,0.48,0.42,0.42,0.5
calcubetimer.csv,0.38,0.35,0.59,0.38,0.43,0.42,0.47,0.38,0.33,0.36,0.48,0.38
jas.csv,0.73,0.97,0.73,0.93,0.94,0.8,0.96,0.67,0.54,0.63,0.88,0.95
jbpm.csv,0.8,0.93,0.94,0.86,0.98,0.88,0.93,0.8,0.8,0.99,0.85,0.92
jgossipforum.csv,0.65,0.8,0.0,0.0,0.98,0.0,0.83,0.5,0.0,0.93,0.83,0.0
joustsim.csv,0.72,0.51,0.85,0.92,0.98,0.75,0.86,0.9,0.47,0.74,0.68,0.97
madman.csv,0.88,0.94,0.94,0.5,0.95,0.83,0.0,0.86,0.86,0.95,0.83,0.89
mule.csv,0.57,0.47,0.79,0.78,0.5,0.53,0.55,0.45,0.67,0.52,0.77,0.69
nunit.csv,0.9,0.55,0.64,0.65,0.72,0.53,0.81,0.79,0.94,0.73,0.92,0.87
piccolo2d.csv,0.95,0.95,0.67,0.92,0.68,0.0,0.96,0.91,0.0,0.95,0.65,0.9
sblim.csv,0.89,0.96,0.78,0.86,0.95,0.8,0.91,0.0,0.5,0.88,0.5,0.94
