,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,mumble.csv,t-2.csv,geochat.csv
adaptagrams.csv,0.38,0.75,0.54,0.5,0.55,0.62,0.49,0.69
aime.csv,0.83,0.44,0.64,0.69,0.92,0.56,0.71,0.6
badtrinitycore.csv,0.89,0.67,0.97,0.98,0.69,0.95,1.0,0.6
electric-core.csv,0.34,0.58,0.83,0.51,0.52,0.55,0.78,0.65
geochat.csv,0.44,0.94,0.75,0.86,0.44,0.62,0.55,0.88
mumble.csv,0.36,0.54,0.54,0.79,0.89,0.6,0.67,0.94
olsrd.csv,0.32,0.41,0.38,0.39,0.42,0.43,0.43,0.45
t-2.csv,0.82,0.61,0.51,0.65,0.47,0.47,0.99,0.47
