,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,mumble.csv,t-2.csv,geochat.csv
adaptagrams.csv,1.0,0.34,0.52,0.53,0.43,0.48,0.51,0.13
aime.csv,0.23,1.0,0.57,0.51,0.93,0.6,0.45,0.4
badtrinitycore.csv,0.19,0.03,0.15,0.96,0.29,0.2,0.12,0.43
electric-core.csv,0.77,0.49,0.95,0.66,0.71,0.44,0.38,0.53
geochat.csv,0.58,0.18,0.44,0.32,0.5,0.56,0.75,0.83
mumble.csv,0.69,0.34,0.42,0.32,0.21,1.0,0.25,0.13
olsrd.csv,0.92,0.97,0.82,0.87,0.86,0.84,0.79,0.6
t-2.csv,0.31,0.68,0.63,0.38,0.93,0.64,0.96,0.83
