,maidsafe-dht.csv,atlc.csv,theresa.csv,playerstage.csv,knowledge.csv,gnukeda.csv,enlightenment.csv,boost-sandbox.csv,yaprm.csv,kowari.csv,fceugc.csv,proftp.csv,jaolt.csv,tcvp.csv,dspace-gsoc.csv,lufa-lib.csv,xapian.csv,pixel-commandos.csv,uwom.csv
atlc.csv,0.2,0.98,0.06,0.41,0.92,0.54,0.61,0.77,0.53,0.08,0.37,0.36,0.74,0.1,0.66,0.43,0.23,0.05,0.23
boost-sandbox.csv,0.21,0.67,0.09,0.55,0.97,0.65,0.47,0.99,0.51,0.1,0.43,0.33,0.78,0.1,0.6,0.25,0.36,0.02,0.27
dspace-gsoc.csv,0.28,0.78,0.1,0.35,1.0,0.64,0.71,0.66,0.58,0.2,0.39,0.52,0.73,0.0,0.97,0.38,0.26,0.06,0.28
enlightenment.csv,0.18,0.74,0.0,0.48,0.94,0.68,0.99,0.71,0.41,0.1,0.32,0.46,0.73,0.12,0.72,0.46,0.33,0.02,0.35
fceugc.csv,0.23,0.67,0.1,0.44,0.97,0.5,0.67,0.89,0.41,0.1,1.0,0.52,0.88,0.1,0.55,0.4,0.25,0.12,0.27
gnukeda.csv,0.22,0.79,0.08,0.5,1.0,1.0,0.69,0.76,0.41,0.11,0.35,0.54,0.71,0.17,0.75,0.51,0.27,0.08,0.29
jaolt.csv,0.25,0.58,0.17,0.51,0.95,0.73,0.68,0.74,0.45,0.07,0.45,0.56,0.99,0.07,0.6,0.43,0.37,0.06,0.32
knowledge.csv,0.19,0.61,0.06,0.42,1.0,0.58,0.59,0.73,0.49,0.08,0.35,0.47,0.72,0.11,0.66,0.42,0.23,0.05,0.23
kowari.csv,0.31,0.88,0.12,0.6,0.91,0.51,0.66,0.8,0.54,1.0,0.4,0.52,0.69,0.12,0.55,0.5,0.25,0.07,0.3
lufa-lib.csv,0.21,0.62,0.07,0.41,0.96,0.53,0.58,0.78,0.39,0.08,0.29,0.55,0.72,0.1,0.64,0.98,0.25,0.06,0.25
maidsafe-dht.csv,1.0,1.0,0.33,0.51,0.96,0.75,0.61,0.76,0.5,0.15,0.44,0.67,0.85,0.0,0.64,0.23,0.44,0.06,0.53
pixel-commandos.csv,0.4,1.0,0.0,0.71,1.0,1.0,0.88,0.83,0.75,0.23,0.75,1.0,0.91,0.0,0.25,0.36,0.75,1.0,0.66
playerstage.csv,0.18,0.82,0.11,0.95,1.0,0.77,0.7,0.8,0.52,0.12,0.5,0.44,0.86,0.03,0.57,0.51,0.25,0.07,0.32
proftp.csv,0.75,0.54,0.0,0.53,0.94,0.83,0.73,0.72,0.67,0.05,0.45,1.0,0.8,0.2,0.71,0.48,0.4,0.12,0.41
tcvp.csv,0.12,1.0,0.0,0.32,0.75,0.45,0.41,0.71,0.64,0.0,0.33,0.0,0.75,1.0,0.67,0.45,0.09,0.04,0.1
theresa.csv,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,1.0,0.0,0.25,0.57
uwom.csv,0.24,0.58,0.0,0.64,0.95,0.55,0.58,0.76,0.45,0.06,0.35,0.41,0.75,0.11,0.54,0.43,0.4,0.05,0.98
xapian.csv,0.23,0.57,0.1,0.51,0.97,0.56,0.58,0.76,0.52,0.1,0.36,0.59,0.81,0.06,0.55,0.5,1.0,0.07,0.23
yaprm.csv,0.29,0.73,0.19,0.67,0.92,0.8,0.69,0.77,1.0,0.09,0.43,0.49,0.75,0.1,0.71,0.41,0.34,0.06,0.3
