,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.15,1.0,0.8,0.06,0.12,0.56,0.69,0.45,0.7,0.66,0.16,0.13,0.17,0.27,0.67,0.26
echongl.csv,0.91,0.5,0.37,1.0,0.88,0.56,0.54,0.67,0.51,0.16,0.68,0.92,0.67,0.53,0.27,0.53
findbugs.csv,0.93,0.0,0.87,0.96,0.88,0.69,0.92,0.78,0.62,0.11,0.88,0.98,1.0,0.54,0.38,0.85
google-web-toolkit.csv,0.87,0.0,0.72,0.85,0.5,0.38,0.6,0.16,0.81,0.37,0.8,0.94,0.83,0.37,0.53,0.53
gwanted.csv,0.49,0.0,0.54,0.21,0.62,0.5,0.25,0.19,0.24,0.21,0.6,0.71,0.5,0.61,0.44,0.09
ivatamasks.csv,0.93,0.5,0.95,0.23,0.5,0.94,0.92,0.76,0.97,1.0,0.95,0.9,1.0,0.84,0.96,0.76
onotoa.csv,0.6,0.0,0.61,0.38,0.12,0.38,0.71,0.16,0.32,0.08,0.15,0.61,0.67,0.31,0.36,0.35
orc.csv,0.11,0.0,0.22,0.28,0.62,0.19,0.33,0.25,0.49,0.0,0.32,0.15,0.5,0.19,0.09,0.18
plato.csv,0.93,1.0,0.96,0.79,0.25,1.0,0.94,0.59,1.0,0.92,0.88,0.98,1.0,0.88,0.96,0.88
proftp.csv,0.07,0.0,0.21,0.66,0.62,0.0,0.16,0.29,0.24,0.03,0.2,0.32,0.0,0.12,0.02,0.03
rodin-b-sharp.csv,0.0,1.0,0.09,0.32,0.62,0.31,0.12,0.61,0.35,0.32,0.19,0.09,0.0,0.22,0.31,0.65
uclmda.csv,0.04,0.0,0.26,0.0,0.25,0.44,0.22,0.1,0.3,0.0,0.08,0.19,0.0,0.08,0.11,0.21
umber.csv,0.11,1.0,0.99,0.7,1.0,0.75,0.96,0.91,0.92,0.87,0.9,0.43,0.83,0.87,0.98,1.0
unicase.csv,0.25,0.5,0.73,0.91,0.75,0.38,0.67,0.71,0.84,0.42,0.77,0.41,0.67,0.68,0.8,0.91
wpdev.csv,1.0,0.0,0.99,1.0,1.0,0.88,1.0,0.93,1.0,0.92,0.97,0.99,1.0,0.95,1.0,0.88
