,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,continuum-ide.csv,mia.csv,ontopia.csv,runuomondains.csv,somap.csv,fleet-simulator.csv,tigermud.csv,hydrate.csv
algebsql.csv,195.5,94.5,99.0,282.5,93.5,1935.0,73.5,292.0,1791.5,91.5,191.0,54.5,12.5,94.5,95.5
continuum-ide.csv,96.5,91.5,187.0,199.5,97.5,183.5,9.5,193.0,244.5,91.5,882.0,61.5,96.5,94.5,86.5
fleet-simulator.csv,294.0,98.5,99.0,96.5,97.5,2414.5,665.0,292.0,394.0,98.5,192.0,98.5,98.5,98.5,97.5
hydrate.csv,79.5,94.5,99.0,41.0,93.5,425.0,153.0,193.0,115.0,96.5,192.0,95.5,91.5,94.5,91.5
ivef-sdk.csv,195.5,89.5,99.0,94.5,95.5,55.5,709.0,284.0,798.5,98.5,47.0,98.5,439.5,88.5,0.0
jmri.csv,95.5,89.5,99.0,96.5,1205.5,132.0,436.5,193.0,394.0,98.5,93.5,189.0,86.5,94.5,71.5
kdenlive.csv,294.0,98.5,99.0,96.5,97.5,1918.5,535.5,193.0,394.0,98.5,192.0,98.5,98.5,94.5,97.5
mia.csv,86.5,98.5,99.0,87.5,97.5,168.5,0.0,174.5,194.0,98.5,192.0,98.5,98.5,84.5,97.5
ontopia.csv,294.0,98.5,99.0,96.5,97.5,2337.0,435.5,100.0,394.0,97.5,1638.5,98.5,96.5,94.5,91.5
opentibia.csv,88.5,98.5,99.0,94.5,97.5,104.0,919.5,95.5,195.5,264.5,192.0,98.5,98.5,98.5,97.5
runuomondains.csv,96.5,89.5,99.0,96.5,1011.0,2338.0,1024.0,193.0,294.0,96.5,94.5,95.5,98.5,94.5,97.5
somap.csv,294.0,98.5,99.0,96.5,97.5,2386.5,1111.0,292.0,394.0,98.5,192.0,98.5,98.5,98.5,97.5
taverna.csv,195.5,98.5,99.0,96.5,97.5,1476.5,1121.0,75.5,295.0,185.0,599.5,98.5,98.5,91.5,95.5
tigermud.csv,96.5,91.5,99.0,185.0,97.5,1301.5,323.0,292.0,1420.5,98.5,192.0,98.5,98.5,98.5,97.5
x-ray-mule.csv,571.5,98.5,99.0,91.5,97.5,11.5,519.0,277.0,645.5,98.5,56.0,98.5,96.5,98.5,69.5
