,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,mplayer-ce.csv,biopax.csv,crux-framework.csv,xamj.csv,ng4j.csv,jmule.csv
alsa.csv,0.73,0.65,0.61,0.55,0.67,0.95,0.52,0.47,0.54,0.86,0.49,0.47,0.56,0.49,0.38,0.91,0.4,0.47,0.9,0.0
arcallians.csv,0.61,0.54,0.53,0.76,0.56,0.99,0.51,0.97,0.42,0.89,0.93,0.78,0.59,0.65,0.73,0.63,0.48,0.58,0.68,0.67
arianne.csv,0.53,0.55,0.52,0.79,0.6,0.99,0.65,0.4,0.46,0.64,0.52,0.43,0.55,0.57,0.41,0.55,0.51,0.54,0.59,0.45
aztec.csv,0.53,0.89,0.75,0.51,0.42,0.95,0.68,0.0,0.61,0.49,0.5,0.9,0.96,0.44,0.0,0.55,0.73,0.71,0.58,0.55
biopax.csv,0.42,0.4,0.48,0.49,0.46,0.45,0.48,0.59,0.36,0.39,0.56,0.47,0.36,0.41,0.37,0.49,0.42,0.46,0.44,0.33
bl-toolkit.csv,0.53,0.46,0.47,0.69,0.43,0.98,0.42,0.36,0.38,0.69,0.47,0.38,0.51,0.45,0.38,0.6,0.5,0.46,0.58,0.48
clamav.csv,0.57,0.42,0.55,0.47,0.38,0.41,0.79,0.46,0.53,0.56,0.41,0.49,0.8,0.36,0.44,0.74,0.41,0.57,0.75,0.5
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.5,0.0,0.0,0.0
gnupdate.csv,0.81,0.61,0.86,0.8,0.47,0.88,0.63,0.95,0.49,0.88,0.95,0.88,0.72,0.63,0.49,0.73,0.54,0.55,0.89,0.91
jmule.csv,0.63,0.49,0.46,0.6,0.44,0.97,0.36,0.43,0.44,0.75,0.67,0.45,0.56,0.48,0.59,0.75,0.46,0.5,0.58,0.5
mbse.csv,0.64,0.65,0.55,0.6,0.69,0.97,0.7,0.8,0.55,0.55,0.58,0.52,0.59,0.61,0.7,0.69,0.77,0.8,0.67,0.41
mplayer-ce.csv,0.41,0.48,0.47,0.5,0.51,0.45,0.51,0.42,0.39,0.45,0.49,0.42,0.4,0.45,0.59,0.52,0.47,0.58,0.44,0.37
ng4j.csv,0.92,0.49,0.64,0.61,0.62,0.62,0.53,0.36,0.65,0.85,0.53,0.54,0.71,0.49,0.4,0.81,0.55,0.5,0.79,0.8
ns-3-dev-def-routing.csv,0.94,0.7,0.89,0.89,0.8,0.98,0.95,0.48,0.84,0.59,0.55,0.71,0.98,0.63,0.63,0.97,0.92,0.87,0.9,0.0
openxava.csv,0.46,0.92,0.67,0.75,0.5,0.96,0.92,0.95,0.94,0.86,0.5,0.67,0.97,0.92,0.98,0.83,0.89,0.95,0.55,0.75
phonon-vlc-mplayer.csv,0.55,0.59,0.51,0.91,0.67,0.87,0.64,0.4,0.46,0.8,0.63,0.58,0.41,0.61,0.5,0.58,0.56,0.64,0.62,0.65
qgis.csv,0.64,0.56,0.78,0.72,0.65,0.55,0.62,0.57,0.51,0.9,0.73,0.56,0.57,0.49,0.48,0.83,0.46,0.59,0.82,0.8
vars-redux.csv,0.75,0.75,0.8,0.84,0.92,0.95,0.47,0.44,0.54,0.65,0.46,0.59,0.7,0.6,0.36,0.81,0.57,0.48,0.68,0.8
xamj.csv,0.62,0.51,0.62,0.49,0.34,0.98,0.69,0.89,0.53,0.44,0.93,0.95,0.92,0.47,0.86,0.78,0.44,0.64,0.73,0.67
yafdotnet.csv,0.52,0.54,0.5,0.55,0.56,0.45,0.44,0.37,0.53,0.58,0.91,0.52,0.54,0.49,0.45,0.68,0.46,0.64,0.52,0.61
