,arianne.csv,qgis.csv,bl-toolkit.csv,phonon-vlc-mplayer.csv,arcallians.csv,aztec.csv,openxava.csv,mbse.csv,vars-redux.csv,clamav.csv,gnupdate.csv,alsa.csv,yafdotnet.csv,ns-3-dev-def-routing.csv,mplayer-ce.csv,biopax.csv,crux-framework.csv,xamj.csv,ng4j.csv,jmule.csv
alsa.csv,0.34,0.41,0.36,0.54,0.35,0.25,0.42,0.56,0.57,0.24,0.57,0.99,0.53,0.56,0.58,0.17,0.65,0.58,0.29,0.0
arcallians.csv,0.48,0.6,0.62,0.78,1.0,0.2,0.18,0.27,0.65,0.18,0.54,0.41,0.57,0.46,0.47,0.57,0.79,0.62,0.39,0.42
arianne.csv,0.97,0.6,0.6,0.57,0.66,0.33,0.67,0.39,0.52,0.45,0.36,0.45,0.51,0.58,0.35,0.39,0.35,0.58,0.72,0.62
aztec.csv,0.45,0.1,0.07,0.55,0.52,0.9,0.6,0.0,0.46,0.66,0.0,0.07,0.13,0.58,0.0,0.54,0.36,0.5,0.51,0.53
biopax.csv,0.56,0.6,0.69,0.57,0.54,0.41,0.17,0.61,0.13,0.5,0.64,0.59,0.21,0.63,0.0,0.97,0.09,0.3,0.61,0.35
bl-toolkit.csv,0.5,0.6,0.98,0.76,0.67,0.33,0.52,0.47,0.73,0.49,0.13,0.35,0.55,0.62,0.3,0.53,0.87,0.64,0.52,0.63
clamav.csv,0.39,0.55,0.38,0.49,0.51,0.51,0.43,0.49,0.52,0.92,0.43,0.5,0.3,0.6,0.55,0.29,0.64,0.49,0.18,0.57
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.05,0.0,0.0,0.72,0.0,0.0,0.0
gnupdate.csv,0.32,0.52,0.15,0.63,0.54,0.62,0.54,0.2,0.66,0.23,0.96,0.36,0.41,0.49,0.52,0.35,0.68,0.59,0.54,0.43
jmule.csv,0.34,0.52,0.48,0.53,0.43,0.25,0.65,0.59,0.65,0.18,0.4,0.4,0.5,0.51,0.28,0.32,0.67,0.58,0.5,1.0
mbse.csv,0.34,0.46,0.39,0.42,0.39,0.25,0.71,0.93,0.59,0.55,0.55,0.57,0.47,0.48,0.31,0.25,0.7,0.35,0.18,0.45
mplayer-ce.csv,0.55,0.45,0.2,0.41,0.28,0.25,0.65,0.47,0.4,0.54,0.25,0.45,0.46,0.52,0.96,0.4,0.54,0.56,0.36,0.32
ng4j.csv,0.32,0.52,0.55,0.46,0.41,0.2,0.69,0.53,0.47,0.29,0.57,0.48,0.47,0.61,0.53,0.42,0.66,0.59,0.96,0.43
ns-3-dev-def-routing.csv,0.07,0.41,0.17,0.49,0.47,0.33,0.43,0.44,0.35,0.57,0.56,0.51,0.21,0.96,0.54,0.44,0.37,0.32,0.18,0.0
openxava.csv,0.48,0.15,0.05,0.01,0.06,0.05,0.84,0.17,0.26,0.12,0.12,0.01,0.27,0.09,0.09,0.1,0.0,0.17,0.56,0.05
phonon-vlc-mplayer.csv,0.56,0.57,0.52,0.98,0.61,0.36,0.4,0.68,0.6,0.39,0.65,0.4,0.57,0.55,0.51,0.71,0.58,0.53,0.64,0.41
qgis.csv,0.43,0.93,0.36,0.53,0.41,0.35,0.47,0.61,0.66,0.29,0.63,0.54,0.49,0.6,0.57,0.44,0.8,0.59,0.45,0.1
vars-redux.csv,0.36,0.4,0.26,0.45,0.36,0.43,0.7,0.67,0.95,0.44,0.53,0.56,0.41,0.43,0.55,0.32,0.89,0.65,0.39,0.24
xamj.csv,0.42,0.52,0.23,0.45,0.58,0.25,0.54,0.42,0.57,0.56,0.29,0.15,0.3,0.58,0.25,0.35,0.88,0.97,0.18,0.5
yafdotnet.csv,0.44,0.53,0.64,0.45,0.58,0.41,0.62,0.68,0.57,0.52,0.18,0.4,0.97,0.52,0.47,0.34,0.63,0.56,0.48,0.46
