,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.43,0.43,0.5,0.79,0.54,0.48,0.49,0.43,0.51,0.88,0.35,0.33,0.42,0.38,0.58,0.56
bullet.csv,0.47,0.44,0.39,0.96,0.38,0.41,0.54,0.71,0.94,0.46,0.73,0.42,0.55,0.5,0.52,0.44
customwars.csv,0.8,0.46,0.91,0.6,0.47,0.7,0.94,0.52,0.99,0.78,0.94,0.58,0.79,0.61,0.76,0.5
dvd-create.csv,0.36,0.41,0.44,0.59,0.4,0.44,0.44,0.31,0.43,0.43,0.34,0.31,0.59,0.39,0.47,0.51
gbif-indexingtoolkit.csv,0.94,0.97,0.91,0.69,0.81,0.92,0.9,0.91,0.99,0.5,0.92,0.8,0.89,0.8,0.75,0.76
go.csv,0.41,0.45,0.52,0.8,0.4,0.48,0.48,0.42,0.5,0.86,0.4,0.37,0.56,0.4,0.57,0.51
growl-for-windows.csv,0.55,0.92,0.59,0.8,0.92,0.46,0.56,0.45,0.55,0.5,0.63,0.44,0.52,0.48,0.57,0.75
gss.csv,0.41,0.39,0.42,0.69,0.4,0.38,0.46,0.38,0.48,0.38,0.33,0.28,0.4,0.41,0.31,0.48
kwave.csv,0.71,0.53,0.94,0.96,0.71,0.68,0.87,0.82,0.78,0.9,0.72,0.6,0.75,0.83,0.9,0.55
libarchive.csv,0.42,0.46,0.55,0.79,0.48,0.39,0.47,0.35,0.49,0.0,0.32,0.3,0.46,0.38,0.5,0.55
linux-ntfs.csv,0.5,0.51,0.59,0.75,0.44,0.42,0.6,0.44,0.53,0.6,0.44,0.32,0.42,0.54,0.41,0.52
lsb.csv,0.41,0.46,0.4,0.6,0.42,0.34,0.62,0.36,0.55,0.67,0.34,0.31,0.34,0.5,0.44,0.5
mpgravity.csv,0.48,0.52,0.64,0.64,0.53,0.47,0.52,0.47,0.53,0.75,0.54,0.41,0.6,0.39,0.72,0.51
qcad2.csv,0.88,0.48,0.71,0.78,0.5,0.86,0.61,0.54,0.77,0.53,0.63,0.61,0.6,0.67,0.77,0.52
qtwin.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xinity.csv,0.71,0.0,0.79,0.67,0.0,0.84,0.75,0.67,1.0,0.53,0.79,0.46,0.79,0.91,0.5,0.0
