,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.9,0.61,1.11,0.5,0.47,0.7,0.59,0.52,1.05,0.48,0.67,0.94,0.87,0.54,0.53,0.99,0.66
botsnscouts.csv,0.69,0.49,0.81,0.53,0.91,0.76,0.37,0.58,0.78,0.57,0.76,0.58,0.91,0.49,0.81,0.89,0.7
cities3d.csv,0.77,0.51,0.64,0.42,0.55,0.85,0.93,0.71,0.95,0.56,0.98,0.69,0.95,0.57,0.64,1.27,0.45
dynalloy.csv,0.34,0.64,1.04,0.81,0.73,0.77,0.72,0.38,0.7,0.97,0.69,0.99,0.66,0.66,0.74,0.52,0.68
electric-core.csv,0.6,0.45,1.05,0.57,0.44,0.74,0.5,0.44,1.16,0.66,0.49,0.61,0.55,0.73,0.67,0.52,0.65
findbugs.csv,0.72,0.53,0.88,0.42,0.34,0.67,0.6,0.46,0.88,0.88,0.66,1.0,0.59,0.45,0.54,0.97,0.68
img-browse-sort.csv,0.49,0.55,1.1,0.55,0.46,0.65,0.62,0.38,1.01,0.54,0.5,0.66,0.33,0.6,0.47,0.69,0.57
jparsec.csv,0.76,0.94,0.96,0.89,0.97,0.75,0.7,0.93,1.0,0.73,0.95,0.39,0.67,1.0,0.94,0.9,0.82
moast.csv,0.64,0.97,0.82,0.8,0.88,0.72,1.0,1.0,0.8,0.84,0.57,0.66,0.95,0.85,0.66,0.05,0.78
mptvseries.csv,0.84,0.63,1.0,0.48,0.41,0.85,0.74,0.55,1.07,1.0,0.82,0.74,0.62,0.61,0.77,1.0,0.75
mvnforum.csv,0.79,0.92,1.01,1.0,0.56,0.5,0.74,0.62,0.86,0.89,0.6,0.79,0.83,0.88,0.73,0.99,0.89
nosleepsoftware.csv,1.0,0.87,0.35,0.94,0.92,1.01,0.93,0.93,0.9,0.83,1.0,0.98,1.01,0.97,0.9,1.02,0.97
ogre.csv,0.71,0.87,0.79,0.91,0.99,0.91,0.79,0.92,0.06,0.85,0.95,0.67,0.9,0.77,0.7,1.0,0.95
openfrag.csv,0.81,0.45,1.08,0.58,0.33,0.74,0.7,0.37,1.32,0.86,0.34,0.99,0.57,0.64,0.73,0.79,0.41
qdvdauthor.csv,0.66,0.76,1.04,0.97,0.54,0.49,0.82,0.98,1.21,0.94,0.69,0.76,0.74,0.4,0.79,0.23,0.48
sumatrapdf.csv,1.0,0.82,0.89,0.92,0.84,0.89,0.75,0.33,1.07,1.0,0.98,1.0,0.87,0.81,0.98,0.93,0.65
zxing.csv,0.62,0.5,1.1,0.42,0.39,0.61,0.51,0.68,1.01,0.65,0.58,0.83,0.57,0.44,0.62,0.86,0.37
