,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,jaxen.csv,emulemorph.csv,jsr308-langtools.csv,continuum-ide.csv,motu.csv,anaxagora.csv,carabiner.csv,free-evolution.csv,jfreechart.csv
anaxagora.csv,0.5,0.79,0.25,1.0,0.57,0.73,0.83,0.31,0.6,1.0,0.48,0.4,0.83,0.5,0.94,1.0,0.67,0.64,0.45,0.0
blogentis.csv,0.0,0.28,0.75,0.12,0.57,0.09,0.67,0.22,0.1,0.0,0.44,0.0,0.33,0.33,0.41,0.08,0.19,0.05,0.55,0.0
carabiner.csv,1.0,0.92,0.25,0.94,0.8,0.36,1.0,0.35,0.3,1.0,0.89,0.8,0.83,0.5,1.0,0.85,0.57,0.73,0.55,1.0
continuum-ide.csv,0.0,0.9,0.75,0.44,0.22,0.27,0.25,0.29,0.1,1.0,0.6,0.2,0.17,0.3,0.82,0.31,0.19,0.09,0.18,1.0
emulemorph.csv,0.0,0.18,0.25,0.5,0.33,0.0,0.54,0.0,0.4,0.0,0.06,0.0,0.83,0.4,0.12,0.0,0.05,0.05,0.39,0.0
free-evolution.csv,1.0,1.0,0.5,0.88,0.51,0.55,0.92,0.55,0.9,1.0,0.91,1.0,0.83,0.93,0.76,0.77,0.67,0.95,0.64,1.0
gtad.csv,1.0,0.72,0.25,0.19,0.14,0.45,0.62,0.08,0.1,1.0,0.36,0.4,0.5,0.27,0.35,0.77,0.19,0.23,0.24,0.0
htmlunit.csv,1.0,0.85,0.25,0.56,0.39,0.45,0.5,0.2,0.6,0.0,0.55,0.4,0.67,0.5,0.53,0.92,0.43,0.59,0.36,0.0
jaxen.csv,1.0,0.74,1.0,0.81,0.88,0.64,0.83,0.63,0.9,1.0,0.51,1.0,0.67,0.8,0.71,0.92,0.86,0.73,0.61,0.0
jsr308-langtools.csv,1.0,0.36,0.0,0.0,0.82,0.82,1.0,0.9,0.6,1.0,0.0,1.0,0.0,0.93,1.0,0.92,0.86,0.95,0.85,0.0
jvcl.csv,0.5,0.15,0.5,0.56,0.22,0.27,0.62,0.1,0.6,0.0,0.24,0.6,0.5,0.13,0.41,0.31,0.19,0.45,0.27,1.0
kaffeine.csv,1.0,0.1,0.0,1.0,0.84,0.73,0.75,0.33,0.0,1.0,0.76,0.8,1.0,1.0,1.0,0.85,0.38,0.32,0.7,1.0
m-m-m.csv,1.0,0.49,0.75,0.69,0.57,0.91,0.79,0.86,0.6,1.0,0.71,1.0,0.67,0.63,0.88,1.0,0.81,1.0,0.61,1.0
motu.csv,1.0,0.69,1.0,1.0,0.63,0.73,0.92,0.71,0.5,0.0,0.91,0.8,0.83,0.87,0.53,0.85,0.86,0.86,0.45,0.0
nh3d.csv,1.0,0.56,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,0.0,0.87,1.0,1.0,1.0,1.0,1.0,1.0
sarasvati.csv,1.0,0.31,0.5,0.31,0.16,0.73,0.33,0.25,0.0,1.0,0.34,0.8,0.0,0.5,0.59,0.54,0.43,0.59,0.42,1.0
taokgame.csv,0.5,0.0,0.0,0.38,0.08,0.18,0.25,0.08,1.0,0.0,0.05,0.4,0.5,0.17,0.24,0.0,0.33,0.36,0.27,0.0
wgs-assembler.csv,1.0,0.46,0.75,1.0,0.57,0.73,0.92,0.06,0.9,1.0,0.51,1.0,0.67,0.93,0.53,0.92,0.71,0.82,0.79,1.0
