,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.11,0.09,0.47,0.49,0.47,0.56,0.62,0.67,0.51,0.14,0.24,0.59,0.55
bscwweasel.csv,0.04,0.17,0.54,0.72,0.62,0.48,0.46,0.0,0.57,0.56,0.3,0.22,0.17
capcode.csv,0.04,0.72,0.27,0.59,0.55,0.0,0.92,0.19,0.42,0.07,0.56,0.37,0.27
emite.csv,0.68,0.44,0.44,0.39,0.69,0.48,0.2,0.56,0.19,0.07,0.52,0.68,0.37
extprosys.csv,0.0,0.47,0.47,0.59,0.61,0.61,0.47,0.06,0.54,0.3,0.42,0.59,0.52
lamp.csv,0.49,0.67,0.41,0.55,0.0,0.5,0.54,0.0,0.56,0.13,0.45,0.22,0.0
retromenu.csv,0.04,0.53,0.44,0.35,0.84,0.25,0.2,0.65,0.26,0.22,0.46,0.37,0.51
smbopensoft.csv,0.81,0.09,0.48,0.5,0.55,0.38,0.28,0.51,0.33,0.28,0.49,0.64,0.5
snakeyaml.csv,0.58,0.55,0.49,0.52,0.76,0.52,0.29,0.61,0.38,0.14,0.63,0.12,0.57
stuproa-cims.csv,0.17,0.17,0.51,0.49,0.67,0.0,0.37,0.66,0.67,0.07,0.38,0.3,0.07
ta3d.csv,0.0,0.0,0.48,0.29,0.54,0.02,0.29,0.56,0.58,0.58,0.09,0.27,0.64
thout.csv,0.66,0.05,0.64,0.29,0.53,0.05,0.3,0.05,0.3,0.09,0.7,0.53,0.38
vrjuggler.csv,0.39,0.62,0.28,0.35,0.45,0.05,0.1,0.0,0.35,0.68,0.3,0.3,0.17
