,bl-toolkit.csv,aztec.csv,fm-classic.csv,clamav.csv,kml.csv,auber.csv,lufa-lib.csv,qmmp.csv,xapian.csv,xtreemfs.csv,mplayer-ce.csv
auber.csv,1.0,0.06,0.91,0.17,0.97,0.24,0.78,0.47,0.69,0.52,1.0
aztec.csv,0.09,0.21,0.01,0.5,0.18,0.44,0.41,0.03,0.0,0.15,0.84
bl-toolkit.csv,0.14,0.93,0.35,1.0,0.79,0.95,0.98,0.73,0.94,0.67,1.0
clamav.csv,0.18,0.67,0.93,0.17,0.56,0.42,0.14,0.39,0.67,0.69,0.48
fm-classic.csv,0.09,0.0,0.09,0.0,0.05,0.09,0.04,0.02,0.0,0.15,0.04
kml.csv,0.5,0.57,0.9,0.61,0.15,0.69,0.6,0.56,0.39,0.85,1.0
lufa-lib.csv,0.5,0.24,0.43,0.53,0.51,0.56,0.31,0.21,0.72,0.51,0.33
mplayer-ce.csv,0.41,0.46,0.93,0.06,0.1,0.67,0.2,0.55,0.3,0.54,0.33
qmmp.csv,0.27,0.57,0.47,0.28,0.33,0.82,0.74,0.18,0.14,0.62,0.9
xapian.csv,0.77,0.77,0.99,0.11,0.26,0.49,0.72,0.73,0.19,0.7,0.67
xtreemfs.csv,0.55,0.79,0.19,0.94,0.72,0.85,0.88,0.23,0.48,0.25,1.0
