,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,1.0,0.59,0.68,1.0,0.87,0.5,0.38,1.0,1.0,0.86,0.77,0.95,0.58,1.0,0.84,0.86,1.0
fontforge.csv,0.93,0.8,1.0,1.0,0.99,0.66,0.94,0.37,0.88,1.0,0.59,0.9,0.61,0.79,1.0,0.99,0.86
glas.csv,0.78,0.66,0.46,0.7,0.84,0.75,0.65,0.84,0.82,0.79,0.73,0.86,0.67,0.47,0.44,1.0,0.74
gmerlin.csv,1.0,0.88,0.59,0.98,1.0,0.66,1.0,1.0,0.76,1.0,1.0,0.72,0.97,0.78,1.0,1.0,0.46
hannosset.csv,0.68,0.84,0.67,0.96,0.73,0.78,1.03,0.72,0.74,0.8,0.81,0.85,0.83,0.9,0.27,0.88,0.94
hatari.csv,0.64,0.44,0.42,0.75,0.78,0.63,0.73,0.98,0.98,0.81,0.58,0.92,0.76,0.74,0.59,0.85,0.66
jaolt.csv,0.61,0.54,0.54,0.74,0.89,0.68,0.29,0.63,0.46,0.81,0.29,0.82,0.45,0.92,0.85,0.91,0.69
jcl.csv,0.58,0.54,0.64,0.7,0.49,0.58,0.75,0.67,0.83,0.94,0.52,0.79,0.68,0.92,0.35,0.53,0.58
ltp.csv,0.75,0.71,0.87,0.71,0.48,0.69,1.31,0.73,0.77,0.61,0.52,0.57,0.83,0.74,0.83,0.73,0.72
mia.csv,0.63,0.87,0.69,0.82,0.96,0.77,0.42,0.52,0.84,0.98,0.63,0.48,0.84,0.97,1.0,0.82,0.68
net-snmp.csv,0.46,0.55,0.52,0.78,0.86,0.82,0.35,1.0,0.9,0.85,0.88,0.55,0.69,0.72,0.87,0.85,0.67
opde.csv,1.0,0.6,1.0,0.47,0.99,0.65,0.38,0.75,0.71,1.0,0.47,0.97,0.75,0.66,0.94,0.91,0.74
oppna-program-hsatools.csv,0.7,0.46,0.63,1.0,0.68,0.57,0.81,0.85,0.89,0.95,0.15,0.99,0.52,0.63,0.52,0.73,0.67
powerfolder-.csv,0.63,0.36,0.47,0.89,0.82,0.72,0.4,0.64,0.65,0.82,0.65,0.96,0.68,0.75,0.52,0.73,0.62
qlc.csv,0.86,0.65,0.77,0.64,0.96,0.56,0.25,0.76,0.47,0.6,0.75,0.79,0.57,0.75,0.67,0.55,0.94
tcl.csv,0.84,0.9,0.8,0.97,0.67,0.73,1.25,1.0,0.69,0.45,0.75,0.99,0.94,0.92,0.88,1.0,0.87
