,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.69,0.66,0.85,0.47,0.62,0.61,0.55,0.78,0.65,0.34,0.66,0.38,1.0,0.35,0.62
grafx2.csv,0.55,0.45,0.82,0.63,0.94,0.38,0.45,0.6,0.62,0.43,0.6,0.8,0.38,0.15,0.5
keyczar.csv,0.06,0.19,0.27,0.15,0.06,0.22,0.38,0.15,0.07,0.21,0.25,0.38,0.1,0.94,0.43
lmms.csv,0.63,0.98,0.73,0.67,0.6,0.6,0.66,0.65,0.71,0.48,0.58,0.57,0.61,0.55,0.58
lufa-lib.csv,0.37,0.47,0.44,0.41,0.51,0.36,0.57,0.57,0.45,0.96,0.56,0.37,0.33,0.55,0.58
netatalk.csv,0.55,0.43,0.66,0.36,0.48,0.36,0.43,0.6,0.68,0.25,0.94,0.36,0.45,0.25,0.47
openmeetings.csv,0.5,0.37,1.0,0.54,0.42,0.24,0.22,0.54,0.51,0.55,0.45,0.38,0.4,0.33,0.22
openxava.csv,0.57,0.43,0.71,0.47,0.41,0.47,0.56,1.0,0.6,0.45,0.57,0.56,0.53,0.31,0.44
pgui.csv,0.42,0.37,0.6,0.54,0.42,0.23,0.42,0.55,0.98,0.42,0.41,0.37,0.36,0.05,0.39
qpe.csv,0.88,0.41,0.53,0.15,0.38,0.18,0.12,0.38,0.22,0.09,0.39,0.34,0.33,0.15,0.18
quickfast.csv,0.67,0.63,0.81,0.48,0.64,0.6,0.61,0.64,0.49,0.42,0.61,0.75,0.5,0.4,1.0
rsyslog.csv,0.55,0.43,0.7,0.97,0.74,0.46,0.42,0.49,0.51,0.24,0.64,0.37,0.51,0.07,0.35
sylpheed-claws.csv,0.68,0.54,0.53,0.47,0.52,0.61,0.98,0.61,0.65,0.4,0.69,0.66,0.48,0.44,0.55
xqilla.csv,0.0,0.01,0.06,0.0,0.0,0.04,0.06,0.0,0.02,0.01,0.25,1.0,0.0,0.02,0.05
yale.csv,0.17,0.39,0.29,0.54,0.45,0.92,0.56,0.55,0.55,0.54,0.56,0.34,0.34,0.41,0.51
