,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.4,0.55,0.41,0.12,0.18,0.54,0.36,0.54,0.44,0.31,0.61,0.89,0.0,0.27,0.53
grafx2.csv,0.22,0.18,0.19,0.08,0.0,0.13,0.2,0.13,0.3,0.43,0.24,0.56,0.07,0.07,0.09
keyczar.csv,0.11,0.18,0.25,0.08,0.03,0.17,0.27,0.05,0.16,0.4,0.26,0.06,0.21,0.13,0.56
lmms.csv,0.57,0.01,0.29,0.21,0.18,0.3,0.43,0.19,0.55,0.7,0.39,0.65,0.5,0.6,0.69
lufa-lib.csv,0.36,0.34,0.34,0.38,0.76,0.21,0.57,0.74,0.43,0.0,0.47,0.3,0.43,0.13,0.5
netatalk.csv,0.19,0.21,0.22,0.0,0.18,0.14,0.15,0.2,0.39,0.22,0.0,0.46,0.21,0.0,0.19
openmeetings.csv,0.23,0.21,0.0,0.46,0.16,0.08,0.03,0.15,0.28,0.53,0.42,0.08,0.21,0.2,0.16
openxava.csv,0.4,0.26,0.45,0.12,0.24,0.34,0.35,0.0,0.52,0.71,0.42,0.66,0.57,0.33,0.25
pgui.csv,0.32,0.25,0.36,0.17,0.11,0.12,0.26,0.13,0.0,0.86,0.13,0.32,0.36,0.07,0.09
qpe.csv,0.0,0.66,0.53,0.0,0.13,0.15,0.08,0.61,0.35,0.09,0.39,0.62,0.29,0.07,0.0
quickfast.csv,0.48,0.66,0.35,0.75,0.63,0.48,0.7,0.51,0.8,0.82,0.68,0.62,0.71,0.87,0.0
rsyslog.csv,0.21,0.25,0.19,0.0,0.18,0.18,0.19,0.08,0.75,0.94,0.37,0.32,0.29,0.0,0.09
sylpheed-claws.csv,0.49,0.44,0.32,0.12,0.13,0.41,0.02,0.42,0.39,0.35,0.37,0.38,0.21,0.2,0.22
xqilla.csv,0.02,0.0,0.0,0.04,0.03,0.01,0.03,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
yale.csv,0.54,0.63,0.91,0.67,0.71,0.0,0.5,0.05,0.61,0.72,0.74,0.59,0.86,0.87,0.38
