,f1,g,recall,precision,pf,wins
azureus.csv,0.5549999999999999,0.41000000000000003,0.92,0.42,0.835,14
bzbyte.csv,0.36,0.0,0.8300000000000001,0.3,0.625,2
carabiner.csv,0.53,0.53,0.8300000000000001,0.425,0.665,16
chipster.csv,0.19,0.29500000000000004,0.255,0.425,0.24,4
continuum-ide.csv,0.305,0.30000000000000004,0.28,0.45,0.20500000000000002,6
ctrlr.csv,0.255,0.29000000000000004,0.27,0.33,0.41000000000000003,1
galaxium.csv,0.54,0.565,0.585,0.485,0.355,19
ingex.csv,0.43,0.48,0.54,0.46499999999999997,0.515,11
itext.csv,0.5,0.515,0.795,0.36,0.705,13
jgnash.csv,0.5,0.57,0.6,0.495,0.425,18
jppf-project.csv,0.435,0.545,0.63,0.355,0.595,10
jsr308-langtools.csv,0.49,0.39,0.93,0.375,0.845,9
lite.csv,0.47,0.53,0.515,0.555,0.375,17
octet.csv,0.45,0.49,0.56,0.42500000000000004,0.355,15
owfs.csv,0.475,0.52,0.585,0.38,0.535,12
sidekar.csv,0.0,0.0,0.0,0.0,0.0,0
stemkit.csv,0.305,0.305,0.265,0.395,0.22499999999999998,5
ta3d.csv,0.37,0.36,0.315,0.43000000000000005,0.25,7
tigermud.csv,0.39,0.42000000000000004,0.52,0.34,0.385,8
utgb.csv,0.27,0.265,0.225,0.315,0.19,3
