,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,chrysalis.csv,jedit.csv
benojt.csv,0.0,0.0,,0.0,0.09,0.0,0.27
chrysalis.csv,0.67,0.59,0.71,0.77,0.59,,0.67
jahshaka.csv,,0.24,0.15,0.24,0.56,0.23,0.35
jam-daq.csv,0.5,0.49,0.54,0.78,,0.3,0.47
jatlas.csv,0.11,0.39,0.43,,0.28,0.13,0.44
jedit.csv,0.17,0.4,0.0,0.13,0.0,0.54,
open-media-library.csv,0.49,,0.54,0.79,0.71,0.0,0.57
