,fido.csv,poormans.csv,hibernate.csv,ninject.csv,geogebra.csv,fluent-nhibernate.csv,uface.csv
fido.csv,0.32,0.45,0.43,0.38,0.39,0.45,0.23
fluent-nhibernate.csv,0.3,0.4,0.26,0.28,0.3,0.32,0.13
geogebra.csv,0.23,0.14,0.16,0.35,0.15,0.12,0.19
hibernate.csv,0.27,0.14,0.24,0.17,0.2,0.2,0.17
ninject.csv,0.21,0.2,0.19,0.12,0.19,0.3,0.15
poormans.csv,0.13,0.11,0.12,0.13,0.13,0.12,0.11
uface.csv,0.27,0.33,0.23,0.35,0.34,0.37,0.24
