,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,1.0,0.08,0.0,0.0,0.35,0.07,0.17,0.05,0.08,0.16,0.0,0.0,0.1,0.0
jicarilla.csv,0.0,0.1,0.97,0.0,0.06,0.04,0.06,0.05,0.0,0.09,0.11,0.05,0.1,0.17
jmule.csv,1.0,0.85,0.12,0.81,0.74,0.86,0.72,0.67,1.0,0.86,0.79,0.45,0.85,0.96
micomt.csv,0.5,0.46,0.73,0.69,0.47,0.54,0.83,0.38,0.85,0.51,0.47,0.32,0.35,0.58
migen.csv,0.5,0.31,0.45,0.12,0.94,0.29,0.28,0.1,0.08,0.49,0.26,0.18,0.4,0.12
mvnforum.csv,0.5,0.08,0.48,0.0,0.32,0.0,0.94,0.24,0.54,0.32,0.26,0.05,0.3,0.0
ng4j.csv,0.5,0.67,0.06,0.75,0.44,0.46,0.83,0.33,0.85,0.64,0.63,0.14,1.0,0.67
open-data-kit.csv,1.0,0.28,0.06,0.62,0.62,0.54,0.33,0.19,1.0,1.0,0.74,0.55,0.5,0.5
opennms.csv,0.0,0.1,0.12,0.31,0.09,1.0,0.17,0.29,0.08,0.08,0.32,0.32,0.15,0.38
ossim.csv,0.0,0.05,0.0,0.94,0.0,0.04,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.04
plplot.csv,1.0,0.77,0.58,0.88,0.74,0.36,0.72,0.86,0.77,0.58,0.79,0.41,0.6,0.79
qedo.csv,0.0,0.0,0.06,0.0,0.06,0.14,0.0,0.05,0.0,0.05,0.05,0.91,0.1,0.08
tradelink.csv,0.0,0.18,0.06,0.25,0.29,0.07,0.22,0.1,0.08,0.13,0.95,0.14,0.15,0.04
wgs-assembler.csv,0.5,0.85,0.0,0.5,0.18,0.14,0.17,0.24,0.31,0.11,0.26,0.0,0.25,0.17
