,ktc.csv,rosegarden.csv,nosleepsoftware.csv,jbasic.csv,smarttag.csv,alleg.csv,iaml.csv,riff-evolve.csv,adobe-source.csv,xined.csv,wxcode.csv,nebuladevice.csv,pixel-commandos.csv,icescrum.csv,moast.csv,biodwh.csv,zemljanka.csv,factor.csv,natpad.csv,jcache.csv
adobe-source.csv,0.53,0.76,0.79,0.82,0.67,0.97,0.92,0.68,0.07,0.71,0.19,0.62,0.51,0.7,1.29,0.77,0.98,0.57,0.89,0.47
alleg.csv,0.64,0.73,0.8,0.53,0.7,0.03,0.76,0.69,0.76,0.57,0.97,0.56,0.97,0.92,0.78,0.83,0.89,0.48,0.6,0.75
biodwh.csv,0.46,0.51,0.64,0.83,1.0,1.0,0.81,0.81,0.8,0.9,0.43,0.79,0.56,0.9,0.92,0.0,0.98,0.57,0.98,0.69
factor.csv,1.0,0.98,1.0,0.92,1.0,1.0,0.96,0.84,0.97,1.0,1.0,1.0,1.0,1.0,1.04,1.0,1.0,0.05,1.0,0.94
iaml.csv,0.58,0.49,0.91,0.71,0.89,0.95,0.04,0.67,0.73,0.7,0.75,0.62,0.42,0.69,0.69,0.58,0.83,0.94,0.92,0.9
icescrum.csv,0.91,0.94,1.0,0.72,0.86,0.68,0.81,0.74,0.72,0.9,0.86,1.01,0.51,0.11,0.94,0.65,0.56,0.96,0.73,0.88
jbasic.csv,0.57,0.49,1.02,0.02,0.53,0.65,0.62,0.52,0.49,0.42,0.89,0.97,0.3,0.91,0.27,0.75,0.48,0.57,0.6,0.62
jcache.csv,0.49,0.48,0.88,0.51,0.59,0.76,0.79,0.7,0.58,0.57,0.39,0.48,0.31,0.67,1.04,0.64,0.73,0.45,0.57,0.0
ktc.csv,0.04,0.51,0.53,0.72,0.89,0.8,0.76,0.76,0.51,0.57,0.46,0.66,0.56,0.43,0.82,0.61,0.75,0.79,0.64,0.74
moast.csv,1.0,1.0,1.0,1.0,0.97,1.0,0.99,0.82,1.0,1.0,1.0,1.0,1.0,0.85,0.01,1.0,1.0,1.15,1.0,0.32
natpad.csv,0.52,0.62,0.88,0.77,0.66,0.57,0.86,0.57,0.53,0.53,0.25,0.63,0.62,0.77,0.69,0.58,0.83,0.5,0.02,0.68
nebuladevice.csv,0.81,0.78,0.75,0.83,1.0,0.85,0.91,0.96,0.81,0.9,0.57,0.13,0.5,0.69,1.0,0.77,0.82,0.79,0.75,0.91
nosleepsoftware.csv,0.61,0.54,0.12,0.69,1.0,0.72,0.86,0.8,0.81,0.8,0.2,0.48,0.58,0.8,1.17,0.74,0.69,0.76,0.52,0.77
pixel-commandos.csv,0.97,0.96,1.0,1.0,0.93,1.0,0.99,0.99,1.0,1.0,1.0,1.0,0.0,1.0,0.96,1.0,1.0,1.0,0.95,1.0
riff-evolve.csv,0.84,0.82,0.8,0.62,0.54,0.77,0.75,0.01,0.81,0.78,0.71,0.93,0.69,0.66,0.62,0.55,0.68,0.73,0.75,0.42
rosegarden.csv,0.46,0.07,0.53,0.7,0.71,0.72,0.67,0.58,0.59,0.5,0.23,0.75,0.53,0.46,1.03,0.67,0.72,0.7,0.61,0.96
smarttag.csv,0.87,0.84,1.01,0.97,0.07,0.98,0.88,0.96,0.88,0.81,1.0,0.94,1.01,0.9,0.89,0.92,0.97,0.76,1.0,0.97
wxcode.csv,0.63,0.89,0.69,0.9,1.0,0.97,0.91,0.91,1.0,1.0,0.0,0.87,1.0,0.95,1.25,0.84,0.96,0.39,0.95,0.89
xined.csv,0.77,0.65,0.94,0.67,0.75,0.93,0.68,0.79,0.75,0.0,0.72,0.82,0.52,0.69,1.01,0.74,0.7,0.7,0.59,1.02
zemljanka.csv,0.91,0.95,1.01,0.98,1.0,0.87,1.0,0.98,0.99,1.0,0.93,1.0,1.0,0.93,0.93,0.95,0.0,0.96,1.0,1.0
