,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,sigil.csv,pcsx2.csv,img-browse-sort.csv,enzo.csv,doomlegacy.csv,salasaga.csv,pi-qmc.csv,open-ms.csv,skia.csv
decidr.csv,0.54,0.38,0.4,0.37,0.45,0.42,0.42,0.31,0.42,0.4,0.49,0.43,0.43,0.3,0.43,0.39,0.53,0.41,0.46,0.36
doomlegacy.csv,0.42,0.0,0.45,0.81,0.49,0.47,0.39,0.91,0.95,0.42,0.52,0.45,0.53,0.38,0.5,0.38,0.68,0.41,0.61,0.48
elmo.csv,0.45,0.52,0.39,0.58,0.43,0.43,0.4,0.34,0.38,0.39,0.52,0.44,0.41,0.34,0.42,0.34,0.47,0.4,0.48,0.35
enzo.csv,0.36,0.49,0.4,0.36,0.4,0.45,0.35,0.33,0.34,0.45,0.38,0.49,0.39,0.3,0.35,0.36,0.49,0.42,0.4,0.34
gpac.csv,0.47,0.75,0.85,0.66,0.95,0.93,0.43,0.54,0.46,0.53,0.71,0.85,0.9,0.83,0.5,0.9,0.96,0.56,0.6,0.9
img-browse-sort.csv,0.4,0.41,0.59,0.46,0.61,0.49,0.37,0.5,0.64,0.42,0.52,0.47,0.49,0.56,0.94,0.6,0.53,0.68,0.47,0.52
ktc.csv,0.4,0.44,0.44,0.89,0.56,0.63,0.43,0.38,0.4,0.53,0.75,0.44,0.39,0.33,0.51,0.46,0.41,0.67,0.49,0.52
neoengine.csv,0.53,0.5,0.5,0.53,0.65,0.53,0.39,0.33,0.35,0.44,0.79,0.45,0.42,0.37,0.43,0.37,0.53,0.52,0.52,0.37
nicepress.csv,0.41,0.52,0.44,0.5,0.44,0.5,0.36,0.33,0.44,0.58,0.43,0.46,0.45,0.42,0.34,0.51,0.5,0.44,0.4,0.46
open-ms.csv,0.35,0.37,0.38,0.55,0.49,0.58,0.41,0.56,0.6,0.73,0.61,0.41,0.39,0.34,0.62,0.29,0.49,0.48,0.51,0.48
pcsx2.csv,0.42,0.46,0.67,0.41,0.75,0.45,0.51,0.48,0.53,0.48,0.85,0.52,0.48,0.42,0.38,0.66,0.53,0.93,0.4,0.46
pi-qmc.csv,0.49,0.51,0.39,0.35,0.57,0.41,0.42,0.3,0.44,0.46,0.42,0.43,0.36,0.33,0.55,0.33,0.45,0.56,0.41,0.36
rosegarden.csv,0.38,0.44,0.49,0.73,0.55,0.58,0.42,0.51,0.54,0.91,0.67,0.47,0.46,0.38,0.37,0.34,0.49,0.51,0.44,0.51
salasaga.csv,0.54,0.58,0.45,0.55,0.55,0.48,0.45,0.33,0.41,0.38,0.49,0.48,0.4,0.43,0.84,0.54,0.38,0.73,0.48,0.4
sigil.csv,0.37,0.41,0.46,0.43,0.43,0.43,0.4,0.43,0.58,0.4,0.45,0.44,0.45,0.44,0.42,0.33,0.62,0.67,0.44,0.42
skia.csv,0.39,0.34,0.55,0.5,0.59,0.52,0.44,0.41,0.41,0.75,0.42,0.48,0.4,0.34,0.48,0.38,0.43,0.56,0.41,0.42
smarttag.csv,0.37,0.41,0.44,0.41,0.44,0.48,0.43,0.48,0.47,0.47,0.44,0.45,0.39,0.43,0.4,0.36,0.48,0.67,0.4,0.47
sylpheed-claws.csv,0.37,0.5,0.43,0.37,0.41,0.42,0.36,0.38,0.46,0.39,0.44,0.44,0.43,0.29,0.43,0.36,0.53,0.42,0.39,0.37
xemeiah.csv,0.46,0.7,0.42,0.61,0.53,0.48,0.37,0.33,0.4,0.38,0.51,0.44,0.4,0.3,0.46,0.57,0.37,0.52,0.47,0.4
zscreen.csv,0.42,0.89,0.53,0.52,0.57,0.51,0.45,0.67,0.64,0.48,0.5,0.47,0.52,0.35,0.43,0.43,0.54,0.9,0.5,0.44
