,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.67,0.85,0.53,0.97,0.61,0.0,0.87,0.91,0.73,0.47,0.63,0.9
emite.csv,0.82,0.63,0.79,0.72,0.64,0.76,0.55,0.78,0.66,0.78,0.03,0.51
geogebra.csv,0.83,0.55,0.75,0.58,0.78,0.63,0.61,0.89,0.69,0.75,1.0,0.11
hibernate.csv,0.77,0.91,0.83,0.63,0.62,0.7,0.68,0.62,0.06,0.77,0.94,0.69
httpcontentparser.csv,0.86,0.8,0.15,0.92,0.85,0.99,0.93,0.84,0.94,0.76,1.0,0.93
megameknet.csv,0.64,0.53,0.67,0.53,0.82,0.52,0.03,0.82,0.6,0.64,0.69,0.63
myfaces.csv,0.83,0.84,0.87,0.1,0.82,0.85,0.85,0.65,0.7,0.79,0.82,0.68
ns-3.csv,0.02,0.49,0.49,0.51,0.66,0.98,0.51,0.76,0.55,0.54,0.85,0.59
ondex.csv,0.71,0.48,0.75,0.61,0.75,0.6,0.66,0.18,0.75,1.04,0.75,0.69
pixel-commandos.csv,1.0,1.0,0.95,0.98,0.91,1.0,0.97,1.0,1.0,0.0,1.0,1.0
rsyslog.csv,0.7,0.04,0.62,0.51,0.48,0.81,0.44,0.59,0.6,0.51,0.53,0.51
wow-qrsk.csv,0.65,0.84,0.49,0.64,0.03,0.76,0.63,0.76,0.73,0.36,0.84,0.61
