,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.69,0.8,0.17,0.04,0.25,1.0,0.14,0.43,0.31,0.08,0.5,0.13
emite.csv,0.6,0.6,0.1,0.13,0.22,0.69,0.32,0.16,0.34,0.05,1.0,0.33
geogebra.csv,0.59,0.8,0.38,0.34,0.16,0.95,0.34,0.18,0.46,0.14,0.0,1.0
hibernate.csv,0.76,0.33,0.09,0.17,0.24,0.8,0.43,0.21,1.0,0.07,0.5,0.23
httpcontentparser.csv,0.66,0.46,1.0,0.27,0.14,1.0,0.62,0.17,0.33,0.08,0.0,0.11
megameknet.csv,0.71,0.63,0.12,0.25,0.15,0.82,1.0,0.15,0.41,0.05,0.62,0.27
myfaces.csv,0.59,0.41,0.09,0.98,0.17,0.61,0.16,0.2,0.29,0.04,0.39,0.24
ns-3.csv,0.99,0.71,0.18,0.21,0.21,0.64,0.37,0.15,0.4,0.06,0.45,0.28
ondex.csv,0.68,0.7,0.31,0.18,0.18,0.78,0.6,0.96,0.27,0.0,0.41,0.24
pixel-commandos.csv,0.0,0.0,0.11,0.08,0.47,0.0,0.4,0.0,0.0,1.0,0.0,0.0
rsyslog.csv,0.69,1.0,0.13,0.21,0.31,0.73,0.38,0.22,0.35,0.07,0.56,0.33
wow-qrsk.csv,0.8,0.5,0.2,0.19,0.99,0.76,0.48,0.17,0.47,0.11,0.56,0.34
