,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.74,0.8,0.74,0.97,0.87,0.52,0.9,0.0,0.84,0.89
fritzing.csv,0.49,0.46,0.07,0.66,0.5,0.42,0.8,0.55,0.73,0.69
jlinalg.csv,0.0,0.73,0.88,0.76,1.0,0.91,0.94,0.77,0.95,0.88
knowledge.csv,0.54,0.65,0.76,0.99,0.0,0.97,1.0,0.85,0.83,0.9
massiv.csv,1.0,1.0,0.99,1.0,1.0,0.25,1.0,0.9,1.0,1.0
multitude.csv,0.51,0.6,0.54,0.61,0.55,0.67,0.79,0.69,0.69,0.03
playerstage.csv,0.64,0.51,0.6,0.02,0.48,0.4,0.93,0.72,0.69,0.62
quarkplusplus.csv,0.58,0.63,0.64,0.59,0.63,0.54,0.9,0.76,0.04,0.74
rtrt-on-gpu.csv,0.84,0.76,0.73,0.71,0.71,0.47,0.0,0.81,0.8,0.8
superwaba.csv,0.62,0.02,0.65,0.54,0.48,0.45,0.82,0.71,0.6,0.61
