,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.35,0.48,0.0,0.0,0.07,0.33,0.33,0.09,0.86,0.22,0.59,0.17,0.14,0.64
dvt.csv,0.84,0.43,0.46,0.12,0.43,0.67,0.86,0.09,0.81,0.78,0.68,0.46,0.28,0.73
flylinkdc.csv,0.68,0.76,0.94,0.8,0.86,0.81,0.38,0.74,0.43,0.78,0.38,0.98,0.92,0.73
fulguro.csv,0.0,0.88,0.45,0.44,0.57,0.29,0.05,0.86,0.38,0.33,0.79,0.39,0.5,0.64
gnome-jabber.csv,0.65,0.64,0.36,0.69,0.79,0.74,0.48,0.67,0.43,0.61,0.66,0.22,0.94,0.55
ipfire-wall.csv,0.38,0.52,0.66,0.46,0.71,0.26,0.0,0.84,0.24,0.72,0.13,0.6,0.25,0.27
jruby.csv,0.95,0.69,1.0,1.0,0.5,0.38,0.05,0.6,0.05,0.28,1.0,0.68,0.97,0.18
ldview.csv,1.0,0.74,1.0,0.99,1.0,0.71,0.71,0.63,0.1,0.94,0.72,0.44,0.97,0.91
maidsafe-dht.csv,0.35,0.14,0.48,0.36,0.71,0.24,0.24,0.6,0.19,0.83,0.13,0.41,0.69,0.18
nuttx.csv,0.54,0.26,0.08,0.7,0.29,0.19,0.43,0.14,0.33,0.33,0.23,0.21,0.44,0.09
oorexx.csv,0.68,0.24,0.35,0.18,0.71,0.29,0.67,0.07,0.24,0.72,0.48,0.28,0.69,0.55
red5.csv,0.95,0.9,0.42,0.67,0.79,0.9,0.9,0.72,0.95,0.78,0.97,0.6,0.72,1.0
vdsf.csv,0.76,0.88,0.36,0.64,0.86,0.79,0.71,0.86,0.76,1.0,0.98,0.9,0.89,1.0
xbrlapi.csv,0.14,0.67,0.0,0.04,0.07,0.24,0.24,0.63,0.1,0.5,0.0,0.04,0.42,0.55
