,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.28,0.53,0.0,0.0,0.06,0.25,0.37,0.15,0.59,0.24,0.72,0.28,0.21,0.23
dvt.csv,0.46,0.45,0.16,0.22,0.25,0.54,0.49,0.17,0.49,0.47,0.8,0.6,0.36,0.18
flylinkdc.csv,0.61,0.64,0.15,0.81,0.38,0.43,0.41,0.64,0.26,0.6,0.54,0.92,0.7,0.23
fulguro.csv,0.0,0.66,0.12,0.57,0.29,0.24,0.08,0.7,0.3,0.33,0.86,0.54,0.51,0.34
gnome-jabber.csv,0.4,0.59,0.13,0.75,0.44,0.48,0.47,0.61,0.33,0.43,0.79,0.35,0.72,0.2
ipfire-wall.csv,0.41,0.53,0.21,0.57,0.43,0.3,0.0,0.71,0.19,0.63,0.23,0.72,0.32,0.18
jruby.csv,0.42,0.56,0.16,0.9,0.4,0.29,0.07,0.6,0.08,0.37,0.97,0.77,0.74,0.21
ldview.csv,0.43,0.61,0.16,0.9,0.33,0.36,0.68,0.61,0.12,0.49,0.82,0.58,0.74,0.28
maidsafe-dht.csv,0.38,0.21,0.34,0.48,0.56,0.26,0.37,0.59,0.17,0.64,0.23,0.55,0.69,0.19
nuttx.csv,0.51,0.35,0.12,0.77,0.33,0.24,0.44,0.22,0.4,0.28,0.37,0.33,0.54,0.08
oorexx.csv,0.42,0.3,0.14,0.29,0.39,0.3,0.53,0.12,0.28,0.45,0.64,0.42,0.7,0.22
red5.csv,0.48,0.65,0.13,0.76,0.32,0.44,0.51,0.73,0.44,0.46,0.96,0.7,0.68,0.22
vdsf.csv,0.39,0.67,0.26,0.7,0.31,0.43,0.52,0.68,0.38,0.52,0.96,0.89,0.71,0.24
xbrlapi.csv,0.19,0.66,0.0,0.08,0.08,0.31,0.3,0.59,0.15,0.55,0.0,0.08,0.5,0.3
