,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.67,0.43,0.65,0.19,0.26,0.53,0.22,0.81,0.7,0.53,0.46,0.43,0.68,0.24
exordium.csv,0.64,0.25,0.6,0.33,0.56,0.58,0.3,0.89,0.61,0.39,0.5,0.52,0.76,0.34
google-caja.csv,0.66,0.54,0.57,0.25,0.33,0.51,0.24,0.89,0.43,0.3,0.45,0.46,0.67,0.23
hydrogen.csv,0.62,0.0,0.49,0.21,0.0,0.47,0.43,0.74,0.42,0.22,0.41,0.39,0.63,0.2
kmess.csv,0.83,0.33,0.7,0.23,0.33,0.7,0.35,0.85,0.48,0.54,0.57,0.47,0.72,0.26
kvs.csv,1.0,0.0,0.65,0.48,0.0,0.3,0.33,0.78,0.37,0.3,0.28,0.31,0.56,0.19
megameknet.csv,0.64,0.43,0.57,0.25,0.28,0.53,0.23,0.73,0.58,0.43,0.46,0.36,0.66,0.22
ns-3-dev-def-routing.csv,0.67,0.33,0.58,0.43,0.48,0.42,0.18,0.7,0.45,0.27,0.48,0.53,0.71,0.31
open-ms.csv,0.71,0.5,0.59,0.31,0.36,0.51,0.42,0.79,0.47,0.4,0.36,0.44,0.7,0.27
openmsx.csv,0.8,0.5,0.41,0.19,0.25,0.67,0.14,0.62,0.4,0.19,0.53,0.41,0.65,0.21
rezilla.csv,0.5,0.62,0.52,0.19,0.16,0.33,0.22,0.82,0.49,0.2,0.39,0.38,0.61,0.2
sauerbraten.csv,0.79,0.34,0.55,0.22,0.27,0.52,0.15,0.77,0.42,0.34,0.43,0.39,0.62,0.21
webdriver.csv,0.72,0.25,0.73,0.25,0.4,0.74,0.24,0.84,0.54,0.4,0.55,0.48,0.73,0.3
yafdotnet.csv,0.7,0.67,0.59,0.24,0.29,0.48,0.27,0.75,0.67,0.27,0.4,0.41,0.68,0.24
