,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.65,0.36,0.67,0.48,0.56,0.54,0.74,0.2,0.24,0.59,0.44,0.58,0.63,0.63
exordium.csv,0.49,0.13,0.41,0.29,0.79,0.58,0.65,0.72,0.61,0.61,0.41,0.52,0.44,0.62
google-caja.csv,0.56,0.42,0.62,0.65,0.7,0.54,0.75,0.79,0.21,0.71,0.53,0.67,0.63,0.57
hydrogen.csv,0.0,0.0,0.0,0.0,0.0,0.27,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kmess.csv,0.16,0.25,0.47,0.6,0.59,0.51,0.54,0.17,0.2,0.23,0.07,0.54,0.68,0.61
kvs.csv,0.04,0.0,0.45,0.72,0.0,0.27,0.07,0.57,0.37,0.34,0.13,0.23,0.19,0.37
megameknet.csv,0.4,0.19,0.51,0.65,0.6,0.6,0.53,0.36,0.46,0.66,0.41,0.5,0.61,0.6
ns-3-dev-def-routing.csv,0.6,0.13,0.39,0.18,0.69,0.45,0.64,0.45,0.57,0.53,0.24,0.66,0.56,0.24
open-ms.csv,0.63,0.25,0.51,0.71,0.46,0.51,0.66,0.62,0.64,0.63,0.33,0.47,0.55,0.52
openmsx.csv,0.25,0.37,0.43,0.2,0.51,0.36,0.56,0.26,0.36,0.45,0.57,0.58,0.54,0.55
rezilla.csv,0.34,0.79,0.58,0.38,0.34,0.16,0.58,0.15,0.46,0.38,0.52,0.53,0.51,0.53
sauerbraten.csv,0.76,0.54,0.66,0.3,0.44,0.66,0.56,0.61,0.41,0.7,0.58,0.13,0.17,0.21
webdriver.csv,0.73,0.19,0.51,0.55,0.79,0.76,0.81,0.31,0.5,0.68,0.36,0.61,0.59,0.52
yafdotnet.csv,0.69,0.13,0.61,0.62,0.54,0.59,0.73,0.37,0.7,0.63,0.49,0.56,0.58,0.63
