,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.39,0.79,0.43,0.41,0.46,0.58,0.55,0.94,0.96,0.61,0.61,0.48,0.35,0.44
exordium.csv,0.3,0.88,0.65,0.93,0.59,0.47,0.55,0.39,0.49,0.54,0.6,0.51,0.53,0.58
google-caja.csv,0.3,0.62,0.35,0.31,0.42,0.37,0.4,0.33,0.34,0.42,0.38,0.37,0.36,0.36
hydrogen.csv,0.33,0.0,0.44,0.38,0.0,0.38,0.53,0.33,0.35,0.46,0.4,0.38,0.41,0.39
kmess.csv,0.83,0.83,0.57,0.4,0.55,0.8,0.65,0.92,0.97,0.96,0.86,0.65,0.44,0.57
kvs.csv,0.0,0.0,0.61,0.59,0.88,0.68,0.67,0.47,0.62,0.7,0.8,0.88,0.96,0.7
megameknet.csv,0.73,0.86,0.49,0.41,0.5,0.55,0.66,0.37,0.68,0.54,0.62,0.57,0.41,0.5
ns-3-dev-def-routing.csv,0.33,0.83,0.69,0.86,0.63,0.6,0.67,0.58,0.5,0.72,0.93,0.54,0.53,0.98
open-ms.csv,0.43,0.75,0.45,0.35,0.68,0.42,0.58,0.39,0.38,0.46,0.55,0.52,0.45,0.55
openmsx.csv,0.9,0.83,0.59,0.4,0.51,0.95,0.57,0.97,0.39,0.58,0.68,0.53,0.47,0.49
rezilla.csv,0.67,0.58,0.49,0.4,0.65,0.94,0.61,0.91,0.58,0.64,0.47,0.5,0.47,0.45
sauerbraten.csv,0.36,0.36,0.37,0.36,0.42,0.32,0.48,0.35,0.34,0.43,0.41,0.39,0.4,0.39
webdriver.csv,0.33,0.83,0.57,0.39,0.49,0.5,0.52,0.76,0.6,0.56,0.74,0.48,0.42,0.62
yafdotnet.csv,0.33,0.67,0.4,0.36,0.47,0.42,0.48,0.36,0.45,0.51,0.4,0.36,0.33,0.39
