,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.77,0.84,0.75,0.94,0.72,1.0,0.69,0.59,0.77,0.99,0.52,0.93,1.0,0.59,0.19
atlc.csv,0.47,0.28,0.78,0.89,0.87,0.9,0.65,0.91,0.52,0.75,0.8,0.69,0.97,0.67,0.92
bwapi.csv,0.98,1.0,1.0,1.0,1.0,0.99,0.97,0.77,0.98,0.28,0.95,1.0,1.0,0.81,1.04
cubefs.csv,0.93,1.0,1.0,0.86,0.94,1.0,0.67,0.49,0.96,0.94,0.63,0.93,0.87,0.67,0.95
freewrl.csv,1.0,1.0,1.0,0.94,1.0,1.0,0.9,0.64,1.0,1.0,1.0,0.53,0.8,0.91,1.0
iaml.csv,0.91,0.48,1.03,1.0,0.8,0.77,0.45,0.87,0.72,0.87,0.56,0.83,0.71,0.75,0.56
jrdf.csv,0.78,0.98,1.01,0.78,0.73,0.85,0.78,0.76,0.91,1.0,0.97,0.96,0.45,0.78,1.03
kwave.csv,0.5,1.0,0.84,1.0,0.85,1.0,0.72,0.82,0.86,0.87,0.84,1.0,0.61,0.83,1.0
oscarmcmaster.csv,0.62,0.7,0.44,0.57,0.71,0.56,0.77,0.74,0.9,0.81,0.73,0.96,0.61,0.53,0.91
rtrt-on-gpu.csv,0.85,1.01,0.97,0.66,0.83,0.9,0.65,0.83,0.32,0.63,0.92,0.82,0.63,0.82,0.91
theresa.csv,0.73,0.66,0.24,1.0,0.64,0.77,0.85,0.75,0.53,0.92,0.59,0.76,0.69,0.66,0.51
thrust.csv,0.95,0.79,1.04,0.49,0.9,0.64,0.78,0.87,1.0,0.51,0.87,0.88,0.9,0.89,0.96
tktoolkit.csv,0.72,0.58,0.79,0.71,0.69,0.47,0.8,0.81,0.96,1.0,0.72,0.96,0.74,0.81,0.99
xstore.csv,0.65,0.7,0.26,1.0,0.84,0.8,0.78,0.74,0.83,0.91,0.34,0.93,0.88,0.61,0.47
yaprm.csv,0.7,1.0,0.42,0.77,0.49,0.65,0.57,0.91,0.64,0.93,0.75,1.0,0.92,0.78,1.0
