,gtad.csv,wgs-assembler.csv,jicarilla.csv,ossim.csv,migen.csv,opennms.csv,mvnforum.csv,plplot.csv,micomt.csv,open-data-kit.csv,tradelink.csv,qedo.csv,ng4j.csv,jmule.csv
gtad.csv,93.5,99.0,327.5,286.5,94.5,67.5,94.5,97.5,18.5,97.5,95.5,554.5,169.0,0.0
jicarilla.csv,0.0,120.0,447.0,51.0,197.5,40.5,255.0,0.0,1340.5,99.0,178.5,713.5,597.0,98.5
jmule.csv,383.0,99.0,780.0,856.5,95.5,195.5,195.0,97.5,1926.0,97.5,292.0,99.0,178.0,95.5
micomt.csv,678.0,99.0,1503.5,1436.5,516.5,294.0,195.0,97.5,273.0,198.0,194.5,99.0,539.0,92.5
migen.csv,371.5,93.5,843.0,281.5,90.5,191.5,86.5,169.0,436.0,96.5,292.0,99.0,82.5,92.5
mvnforum.csv,2133.0,99.0,476.0,2266.5,357.0,92.5,81.5,355.0,915.5,99.0,289.0,190.0,265.5,0.0
ng4j.csv,93.5,99.0,753.0,1245.5,193.0,96.5,195.0,97.5,350.5,97.5,292.0,98.5,178.0,92.5
open-data-kit.csv,1091.0,99.0,1496.0,1727.0,292.0,294.0,195.0,97.5,2410.0,97.5,293.0,99.0,442.5,92.5
opennms.csv,441.0,190.0,474.5,666.5,95.5,193.5,195.0,94.5,1990.5,97.5,746.5,99.0,633.5,98.5
ossim.csv,862.5,377.0,461.0,582.0,197.5,293.0,195.0,255.5,2318.0,97.5,519.5,1285.5,745.5,95.5
plplot.csv,678.0,99.0,598.0,2620.5,94.5,92.5,94.5,97.5,362.5,185.0,191.0,1078.5,447.5,95.5
qedo.csv,564.0,780.0,374.5,1770.0,197.5,196.5,124.5,652.0,2043.0,206.5,441.0,98.5,510.5,98.5
tradelink.csv,93.5,99.0,928.0,2684.5,94.5,92.5,94.5,85.5,206.5,99.0,194.5,94.5,553.0,98.5
wgs-assembler.csv,830.0,186.0,491.0,765.0,95.5,92.5,195.0,83.5,2336.5,97.5,194.5,93.5,358.0,92.5
