,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv
acegisecurity.csv,1.0,1.0,0.53,1.0,1.0,0.0,0.23,0.25,1.0,0.0,0.24,0.4
gdis.csv,0.85,0.8,0.72,0.32,0.83,0.45,0.72,1.0,1.0,0.33,0.65,0.98
kml.csv,0.77,0.75,0.85,0.5,1.0,0.27,0.64,0.75,0.61,0.67,0.57,0.72
ppcboot.csv,0.81,0.85,0.72,0.91,0.69,0.55,0.57,0.62,0.56,0.0,0.49,0.84
repositorium.csv,0.04,0.4,0.12,0.15,0.03,0.64,0.06,0.38,0.07,0.33,0.16,0.4
rsyslog.csv,0.96,0.35,0.61,0.51,0.17,0.36,0.34,0.38,0.46,0.33,0.32,0.57
simplewebservices.csv,0.85,0.62,0.55,0.94,0.81,0.82,0.68,0.38,0.81,0.67,0.57,0.99
ultimairis.csv,0.81,0.88,0.82,0.7,0.94,0.55,0.87,0.88,0.91,1.0,0.49,0.83
wow-qrsk.csv,0.15,0.68,0.96,0.63,0.14,0.0,0.0,0.5,0.07,1.0,0.14,0.7
wxstudio.csv,0.31,0.22,0.44,0.17,0.31,0.36,0.43,0.0,0.23,0.33,0.92,0.11
xbg.csv,0.0,0.12,0.13,0.03,0.03,0.18,0.15,1.0,0.02,0.67,0.08,0.24
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.67,0.05,0.0
