,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.31,0.37,1.0,0.12,0.49,0.22,0.36,0.51,0.2,0.27,0.54,0.41,0.07,0.47,1.0
atlc.csv,0.88,0.98,1.0,0.53,0.7,0.35,0.42,0.66,0.5,0.48,0.61,0.78,1.0,0.77,0.43
bwapi.csv,0.31,0.39,0.67,0.35,0.86,0.35,0.59,0.47,0.5,1.0,0.7,0.44,0.73,0.57,0.94
cubefs.csv,0.94,0.93,1.0,1.0,0.89,1.0,0.52,0.99,1.0,0.4,0.78,0.07,0.53,0.6,0.71
freewrl.csv,0.44,0.37,1.0,0.06,0.49,0.35,0.54,0.6,0.3,0.36,0.61,0.96,0.47,0.47,0.43
iaml.csv,0.5,0.95,0.67,0.24,0.7,0.7,0.99,0.14,0.4,0.62,0.54,0.3,0.4,0.43,0.63
jrdf.csv,0.44,0.93,0.0,0.0,0.11,1.0,0.39,0.26,0.2,0.07,0.11,0.07,1.0,0.4,0.31
kwave.csv,0.94,0.56,0.33,0.24,0.22,0.96,0.34,0.26,0.2,0.12,0.2,0.37,0.13,0.21,0.37
oscarmcmaster.csv,0.12,0.29,0.0,0.0,0.11,0.17,0.13,0.32,0.0,0.11,0.09,0.04,0.13,0.91,0.6
rtrt-on-gpu.csv,0.25,0.56,0.33,0.06,0.27,0.26,0.23,0.14,1.0,0.16,0.43,0.11,0.2,0.3,0.66
theresa.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.03,0.01,0.0,0.03,0.11,0.0,0.0,0.04,0.09
thrust.csv,0.25,0.29,0.0,0.88,0.16,0.39,0.19,0.1,0.4,0.02,0.07,0.26,0.2,0.23,0.31
tktoolkit.csv,0.38,0.07,0.0,0.59,0.14,0.96,0.72,0.86,0.2,0.05,0.28,0.96,0.53,0.38,0.14
xstore.csv,0.31,0.63,0.67,0.18,0.35,0.87,0.57,0.83,0.3,0.27,1.0,0.44,0.4,0.66,0.63
yaprm.csv,0.25,0.39,0.0,0.53,1.0,0.52,0.24,0.13,0.5,0.44,0.39,0.26,0.4,0.17,0.03
