,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,0.23,0.21,0.52,0.21,0.58,0.19,0.13,0.32,0.38,0.5,0.32,0.21,0.07,0.3,0.0
atlc.csv,0.62,0.03,0.94,0.4,0.68,0.54,0.38,0.56,0.62,0.36,0.51,0.62,0.76,0.65,0.44
bwapi.csv,0.62,0.41,0.76,0.15,0.74,0.28,0.67,0.32,0.29,0.0,0.59,0.42,0.47,0.46,0.41
cubefs.csv,0.88,0.69,0.98,0.98,0.95,1.0,0.63,0.03,1.0,0.81,0.66,0.04,0.58,0.37,0.38
freewrl.csv,0.32,0.07,0.44,0.04,0.39,0.43,0.38,0.53,0.31,0.5,0.37,0.0,0.25,0.41,0.14
iaml.csv,0.34,1.0,0.56,0.17,0.87,0.57,0.02,0.18,0.44,0.81,0.29,0.33,0.39,0.54,0.19
jrdf.csv,0.2,1.0,0.48,0.02,0.18,1.0,0.41,0.09,0.4,0.11,0.1,0.12,0.02,0.4,0.43
kwave.csv,0.0,0.24,0.14,0.04,0.13,0.92,0.42,0.26,0.31,0.0,0.17,0.21,0.2,0.19,0.13
oscarmcmaster.csv,0.02,0.03,0.06,0.0,0.13,0.08,0.1,0.35,0.0,0.06,0.15,0.08,0.02,0.01,0.08
rtrt-on-gpu.csv,0.38,0.24,0.06,0.11,0.24,0.31,0.1,0.06,0.0,0.11,0.22,0.08,0.08,0.29,0.62
theresa.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.0
thrust.csv,0.39,0.24,0.24,0.02,0.11,0.39,0.35,0.12,0.06,0.03,0.17,0.38,0.08,0.34,0.46
tktoolkit.csv,0.34,0.07,0.16,0.4,0.24,0.0,0.69,0.97,0.15,0.31,0.27,1.0,0.63,0.46,0.22
xstore.csv,0.16,0.83,0.48,0.38,0.5,0.68,0.53,0.62,0.35,0.33,0.0,0.33,0.22,0.62,0.44
yaprm.csv,0.48,0.45,0.1,0.49,0.03,0.54,0.28,0.26,0.31,0.19,0.32,0.29,0.36,0.26,0.14
