,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.52,0.07,0.34,0.12,0.92,0.64,0.4,0.38,0.61,0.36
chaperon.csv,0.43,0.3,0.4,0.62,0.47,0.44,0.26,0.21,0.66,0.35
geotools.csv,0.76,0.51,0.54,0.15,0.97,0.7,0.51,0.7,0.48,0.33
l2j.csv,0.7,0.35,0.36,0.19,0.37,0.42,0.28,0.71,0.79,0.36
mule.csv,0.72,0.07,0.23,0.14,0.68,0.61,0.38,0.41,0.28,0.39
nunit.csv,0.5,0.5,0.27,0.19,0.27,0.58,0.36,0.65,0.49,0.52
primefaces.csv,0.72,0.51,0.55,0.19,0.71,0.55,0.46,0.8,0.57,0.32
springside.csv,0.74,0.68,0.26,0.15,0.75,0.73,0.5,0.67,0.56,0.54
swtfox.csv,0.3,0.49,0.6,0.29,0.52,0.54,0.29,0.43,0.47,0.29
twostep.csv,0.74,0.57,0.49,0.12,0.76,0.79,0.45,0.53,0.63,0.4
