,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.23,0.04,0.83,0.23,0.0,0.51,0.38,0.41,0.58,0.4
chaperon.csv,0.31,0.26,0.42,0.1,0.75,0.2,0.22,0.07,0.25,0.32
geotools.csv,0.79,0.89,0.92,0.42,1.0,0.38,0.29,0.74,0.24,0.72
l2j.csv,0.53,0.56,0.15,0.5,0.25,0.09,0.36,0.96,0.34,0.45
mule.csv,0.41,0.03,0.22,0.19,0.0,0.29,0.39,0.22,0.05,0.41
nunit.csv,0.15,0.11,0.46,0.31,0.25,0.29,0.29,0.59,0.26,0.26
primefaces.csv,0.89,0.67,1.0,0.5,0.5,0.84,0.57,0.19,0.38,0.61
springside.csv,0.66,0.25,0.43,0.71,0.25,0.27,0.63,0.78,0.13,0.23
swtfox.csv,0.29,0.78,0.22,0.17,0.75,0.09,0.49,0.52,0.38,0.65
twostep.csv,0.81,0.61,0.58,0.54,0.25,0.13,0.64,0.26,0.38,0.62
