,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.45,0.05,0.35,0.29,0.88,0.76,0.51,0.33,0.51,0.56
chaperon.csv,0.36,0.31,0.44,0.98,0.3,0.42,0.28,0.15,0.57,0.51
geotools.csv,0.55,0.37,0.3,0.51,0.0,0.81,0.62,0.57,0.39,0.56
l2j.csv,0.66,0.45,0.32,0.68,0.27,0.36,0.36,0.17,0.72,0.59
mule.csv,0.69,0.05,0.21,0.29,0.58,0.66,0.48,0.34,0.2,0.61
nunit.csv,0.42,0.46,0.31,0.53,0.19,0.64,0.42,0.6,0.4,0.71
primefaces.csv,0.37,0.62,0.0,0.68,0.55,0.47,0.64,0.76,0.49,0.55
springside.csv,0.64,0.77,0.28,0.57,0.63,0.82,0.68,0.52,0.46,0.71
swtfox.csv,0.24,0.53,0.6,0.54,0.34,0.47,0.4,0.4,0.38,0.52
twostep.csv,0.52,0.7,0.57,0.49,0.64,0.82,0.62,0.46,0.55,0.67
