,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.33,0.99,0.1,0.83,0.84,0.82,0.4,0.18,0.52,0.72,0.02,0.79,0.98,0.6,0.38,0.98
echongl.csv,0.13,0.99,0.1,0.64,0.92,0.85,0.41,0.15,0.34,1.0,0.0,0.76,0.75,0.6,0.34,0.63
findbugs.csv,0.29,0.98,0.2,0.59,0.82,0.84,0.24,0.18,0.55,0.71,0.0,0.65,0.9,0.6,0.96,0.76
google-web-toolkit.csv,0.08,1.0,0.14,0.85,1.0,0.75,0.24,0.29,0.48,0.78,0.02,0.73,0.97,1.0,0.38,0.64
gwanted.csv,0.75,1.0,0.45,1.0,0.79,0.95,0.52,1.0,0.0,0.86,0.0,0.72,0.0,0.58,0.54,0.86
ivatamasks.csv,0.41,1.0,0.15,1.0,0.88,0.88,0.48,0.19,0.67,0.69,0.02,0.75,0.99,0.6,0.38,0.74
onotoa.csv,0.3,1.0,0.15,0.68,0.86,0.99,0.33,0.2,0.38,0.77,0.01,0.73,0.91,0.59,0.45,0.58
orc.csv,0.06,1.0,1.0,0.61,0.86,0.87,0.33,0.18,0.48,0.74,0.0,0.69,0.9,0.63,0.47,0.44
plato.csv,0.15,0.99,0.07,0.62,1.0,0.81,0.41,0.18,0.49,0.0,0.01,0.74,0.95,0.59,0.34,0.71
proftp.csv,0.73,1.0,0.16,0.88,0.86,0.82,0.46,0.23,1.0,0.8,0.0,0.8,0.62,0.6,0.45,0.85
rodin-b-sharp.csv,0.91,1.0,0.19,0.72,0.75,0.79,0.99,0.21,0.67,0.93,0.0,0.72,1.0,0.58,0.2,0.44
uclmda.csv,0.53,1.0,0.09,0.76,0.88,0.78,0.62,0.19,0.22,0.71,0.02,0.79,1.0,0.56,0.29,0.7
umber.csv,1.0,1.0,0.07,0.73,1.0,0.92,0.48,0.32,0.17,0.81,0.0,0.86,0.91,0.59,0.41,0.62
unicase.csv,0.18,0.99,0.14,0.72,0.85,0.84,0.41,0.17,0.35,0.8,0.01,0.99,0.29,0.6,0.34,0.6
wpdev.csv,0.26,1.0,0.1,0.68,0.83,0.82,0.36,0.18,0.45,0.72,0.01,0.72,0.96,0.59,0.38,0.67
