,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.36,0.5,0.86,0.13,0.62,0.62,0.67,0.55,0.43,0.92,0.53,0.42,0.5,0.59,0.78,0.03
echongl.csv,0.62,0.5,0.54,0.66,0.38,0.56,0.61,0.49,0.89,0.0,0.43,0.67,1.0,0.56,0.56,0.65
findbugs.csv,0.31,0.5,0.17,0.36,0.38,0.25,0.5,0.24,0.27,0.58,0.27,0.34,0.33,0.35,0.02,0.26
google-web-toolkit.csv,0.6,0.0,0.23,0.15,0.0,0.25,0.15,0.33,0.38,0.58,0.47,0.49,0.17,0.01,0.18,0.35
gwanted.csv,0.05,0.0,0.04,0.0,0.88,0.06,0.19,0.0,0.0,0.08,0.09,0.27,0.33,0.16,0.36,0.03
ivatamasks.csv,0.36,0.0,0.38,0.0,0.25,0.31,0.32,0.41,0.05,0.92,0.51,0.43,0.33,0.49,0.47,0.21
onotoa.csv,0.71,0.0,0.61,0.87,0.62,0.06,0.83,0.77,0.89,0.63,0.77,0.85,0.83,0.8,0.58,0.65
orc.csv,0.31,0.0,0.0,0.15,0.75,0.31,0.47,0.37,0.62,0.24,0.14,0.27,0.33,0.33,0.18,0.15
plato.csv,0.85,0.5,0.87,0.87,0.0,0.75,0.76,0.85,0.84,0.0,0.89,0.81,0.67,0.76,0.87,0.68
proftp.csv,0.07,0.0,0.38,0.15,0.38,0.19,0.27,0.25,0.0,0.24,0.32,0.27,0.5,0.3,0.27,0.06
rodin-b-sharp.csv,0.02,0.0,0.15,0.4,0.38,0.31,0.0,0.17,0.03,0.03,0.26,0.39,0.0,0.2,0.18,0.41
uclmda.csv,0.25,0.0,0.52,0.38,0.25,0.69,0.15,0.35,0.19,0.95,0.35,0.39,0.0,0.43,0.53,0.38
umber.csv,0.0,0.0,0.29,0.26,0.0,0.06,0.33,0.1,0.27,0.45,0.15,0.07,0.17,0.23,0.44,0.53
unicase.csv,0.6,0.5,0.54,0.7,0.5,0.44,0.52,0.56,0.54,0.13,0.62,0.03,0.83,0.68,0.82,0.79
wpdev.csv,0.96,0.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,0.97,1.0,0.91
