,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.24,0.19,0.28,0.33,1.0,0.15,0.33,0.09,0.21,0.16,0.27,0.29,0.3,0.1,0.17
arianne.csv,0.97,0.24,0.42,0.33,0.5,0.15,0.78,0.28,0.21,0.28,0.94,0.51,0.59,0.33,0.17
auber.csv,0.25,0.65,0.64,0.56,0.75,0.54,0.5,0.38,0.69,1.0,0.59,0.36,0.49,0.48,0.36
bl-toolkit.csv,0.49,0.77,1.0,0.11,0.9,0.92,0.81,0.34,0.77,0.72,0.66,0.7,0.73,0.17,0.25
growl-for-windows.csv,0.34,0.47,0.3,0.22,0.75,0.54,0.11,0.26,0.46,0.27,0.1,0.59,0.57,0.25,1.0
keyczar.csv,0.21,0.52,0.4,0.44,0.8,0.15,0.22,0.55,0.87,0.42,0.8,0.07,0.05,1.0,0.31
kml.csv,0.37,0.61,0.36,0.33,0.45,0.23,1.0,0.3,0.5,0.45,0.65,0.8,0.57,0.4,0.31
knowledge.csv,0.75,1.0,0.98,0.89,0.95,1.0,0.89,0.83,1.0,0.91,0.98,0.73,1.0,0.96,0.5
les-indemodables.csv,0.3,0.52,0.36,0.33,0.8,0.46,0.53,0.43,0.63,0.49,0.38,0.75,0.97,0.46,0.64
lportal.csv,0.71,0.26,0.32,0.0,0.1,0.0,0.25,0.62,0.1,0.0,0.34,0.93,0.27,0.06,0.72
lufa-lib.csv,0.35,0.42,0.38,0.33,0.75,0.69,0.53,0.49,0.35,0.3,0.96,0.63,0.7,0.23,0.53
micomt.csv,0.66,0.31,0.14,0.22,0.2,1.0,0.06,0.26,0.37,0.34,0.16,0.73,0.59,0.02,0.39
sigil.csv,0.3,0.73,0.5,0.33,0.7,0.54,0.47,0.6,1.0,0.61,0.23,0.64,0.51,0.12,0.19
ultimairis.csv,0.67,0.82,0.76,0.44,0.95,0.62,0.31,0.94,0.83,0.94,0.74,0.88,0.49,0.4,0.69
voms.csv,0.03,0.08,0.06,1.0,0.15,0.08,0.08,0.15,0.15,0.15,0.12,0.05,0.24,0.02,0.0
