,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,nebuladevice.csv
ikvm.csv,0.51,0.86,0.05,0.18,0.54,0.72,0.16
libtorrent.csv,0.82,0.48,0.11,0.47,0.85,0.83,0.38
mcmc-jags.csv,0.61,0.54,0.09,0.8,0.8,0.8,0.25
nebuladevice.csv,0.71,0.24,0.0,0.43,0.01,0.54,0.55
olap-navigator.csv,0.91,0.43,0.26,0.45,0.69,0.54,0.43
pidgin.csv,0.44,0.48,0.1,0.12,0.8,0.63,0.31
sepgsql.csv,0.73,0.54,0.19,0.4,0.76,0.56,0.18
