,lamp.csv,thout.csv,freenet.csv,k3b.csv,itext.csv,fido.csv,megameknet.csv,fityk.csv,hibernate.csv,geogebra.csv
fido.csv,0.45,0.83,0.94,0.5,0.0,0.94,0.0,0.0,0.95,0.89
fityk.csv,0.52,0.56,0.39,0.68,0.47,0.54,0.52,0.39,0.61,0.51
freenet.csv,0.57,0.54,0.43,0.58,0.43,0.39,0.53,0.44,0.52,0.46
geogebra.csv,0.44,0.75,0.32,0.47,0.38,0.54,0.53,0.48,0.45,0.48
hibernate.csv,0.89,0.52,0.47,0.51,0.73,0.58,0.58,0.44,0.59,0.53
itext.csv,0.38,0.46,0.36,0.38,0.38,0.3,0.47,0.33,0.45,0.4
k3b.csv,0.39,0.48,0.35,0.43,0.43,0.45,0.47,0.35,0.42,0.43
lamp.csv,0.64,0.72,0.36,0.42,0.4,0.41,0.48,0.42,0.5,0.42
megameknet.csv,0.71,0.5,0.36,0.48,0.42,0.42,0.49,0.39,0.49,0.42
thout.csv,0.47,0.57,0.37,0.56,0.42,0.43,0.48,0.4,0.45,0.41
