,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
56,2,2,1,2,1,1,0,1,logicmail.csv
53,3,1,3,6,1,4,4,6,chrysalis.csv
51,4,3,3,12,2,2,13,17,beast-mcmc.csv
58,5,3,3,4,2,2,4,5,springside.csv
25,6,5,6,11,7,7,14,18,twostep.csv
20,7,2,4,5,2,6,8,8,jmoney.csv
31,8,1,0,1,3,6,13,12,pustefix.csv
28,10,0,1,1,0,1,1,0,atunes.csv
19,11,1,2,2,1,4,4,3,fluent-nhibernate.csv
57,13,2,2,2,2,1,3,2,amanda.csv
59,14,7,8,15,9,4,17,18,unflobtactical.csv
52,15,1,3,3,6,10,12,13,openmeetings.csv
22,16,2,2,5,4,1,9,8,pcsx2.csv
27,17,4,9,14,4,8,15,19,jmule.csv
17,18,1,2,2,1,1,3,2,lmms.csv
29,19,3,6,6,4,6,9,9,fritzing.csv
16,20,1,3,4,1,3,5,4,voms.csv
32,21,3,3,4,3,4,9,8,acegisecurity.csv
30,26,0,4,3,0,4,4,6,jaql.csv
18,27,2,2,5,2,4,6,10,lamp.csv
26,28,5,1,8,6,5,14,13,jython.csv
21,29,9,7,11,13,10,9,16,botsnscouts.csv
37,31,3,4,5,3,5,8,10,xcsoar.csv
6,32,2,2,4,3,5,8,9,mob-sen-plat.csv
15,33,5,10,13,5,6,19,19,img-browse-sort.csv
14,34,6,7,11,6,3,14,16,go.csv
7,35,7,10,9,8,14,11,17,ardour.csv
36,36,3,2,3,5,5,5,6,pidgin.csv
42,37,5,3,6,6,8,13,15,zildo.csv
35,38,0,4,4,1,2,7,6,apolloplayer.csv
43,39,2,6,7,4,9,9,11,applet2app.csv
54,40,2,2,2,2,6,4,5,adaptagrams.csv
49,41,11,8,14,10,8,14,16,openfrag.csv
23,42,3,4,5,2,5,8,7,etics.csv
34,43,1,1,1,1,3,4,4,webdriver.csv
33,44,0,2,2,2,5,5,4,tolven.csv
24,45,2,2,2,4,4,6,6,modellus.csv
48,46,1,3,1,5,10,12,11,archive-crawler.csv
55,47,7,6,8,6,1,11,14,reactos-mirror.csv
50,48,3,4,5,2,2,5,6,jcache.csv
3,50,4,2,5,4,5,10,9,olex2.csv
10,51,3,4,12,3,4,11,14,oppna-program-hsatools.csv
44,52,1,1,2,2,2,3,2,graphmak.csv
41,53,0,1,1,2,9,12,10,jvcl.csv
40,54,2,1,6,1,0,5,7,abbot.csv
45,55,4,5,9,4,6,15,17,xuggle.csv
9,56,0,2,2,5,8,15,13,lockss.csv
5,57,0,1,1,1,2,2,1,papertoolkit.csv
11,58,0,1,0,0,3,3,3,maidsafe-dht.csv
1,59,1,3,5,2,5,11,11,dvt.csv
13,60,1,2,5,1,1,4,5,plplot.csv
0,61,2,4,6,4,2,5,9,irplus.csv
39,62,1,1,1,1,1,1,1,freewrl.csv
46,63,0,1,1,0,1,1,0,jrdf.csv
47,64,7,4,10,6,2,9,11,unicase.csv
38,65,8,4,17,4,1,9,16,grisbi.csv
2,66,2,4,5,1,4,10,9,psrchive.csv
12,67,3,5,5,9,10,11,15,elvishrayrenderer.csv
4,68,2,1,2,3,7,10,10,tzod.csv
8,69,2,1,4,3,4,6,8,anaxagora.csv
