,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.69,0.94,0.89,0.91,0.47,0.9,0.5,0.57,0.77,0.71,0.54,0.63,0.52,0.94
calcubetimer.csv,0.32,0.38,0.4,0.56,0.36,0.45,0.43,0.32,0.37,0.42,0.31,0.37,0.83,0.46
chaosrts.csv,0.33,0.39,0.48,0.54,0.36,0.45,0.43,0.33,0.4,0.42,0.33,0.41,0.79,0.49
chaperon.csv,0.8,0.0,0.77,0.0,0.9,0.8,0.91,0.0,0.89,0.92,0.88,0.93,0.92,0.84
dxengine.csv,0.73,0.92,0.54,0.61,0.79,0.86,0.86,0.94,0.75,0.92,0.79,0.58,0.83,0.65
emono.csv,0.57,0.75,0.53,0.73,0.49,0.95,0.69,0.44,0.53,0.5,0.52,0.44,0.91,0.55
factor.csv,0.0,0.83,0.5,0.78,0.88,0.0,0.47,0.86,0.8,0.0,0.8,0.8,0.51,0.88
jas.csv,0.75,0.92,0.73,0.6,0.92,0.83,0.82,0.89,0.67,0.88,0.92,0.67,0.9,0.58
jmoney.csv,0.56,0.89,0.5,0.93,0.56,0.83,0.47,0.64,0.64,0.94,0.0,0.52,0.8,0.73
jmonkeyengine.csv,0.56,0.62,0.45,0.6,0.78,0.85,0.94,0.93,0.5,0.97,0.94,0.96,0.45,0.49
matrex.csv,0.69,0.89,0.5,0.64,0.86,0.5,0.73,0.45,0.83,0.91,0.0,0.53,0.56,0.89
primefaces.csv,0.58,0.47,0.43,0.69,0.49,0.48,0.72,0.61,0.49,0.49,0.42,0.77,0.92,0.45
roolo.csv,0.91,0.59,0.86,0.79,0.9,0.83,0.78,0.83,0.8,0.96,0.67,0.67,0.86,0.88
sblim.csv,0.88,0.93,0.0,0.82,0.86,0.75,0.75,0.96,0.91,0.95,0.89,0.92,0.66,0.83
