,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.74,0.0,1.02,0.89,0.68,0.77,0.5,0.55,0.84,0.55,0.63,0.62,0.51,0.85
calcubetimer.csv,0.54,0.81,0.68,0.96,0.88,0.6,0.0,0.63,0.84,0.66,0.7,0.79,1.05,0.63
chaosrts.csv,0.79,0.77,0.92,0.94,0.72,0.98,0.76,0.59,0.76,0.81,0.54,0.01,1.08,0.87
chaperon.csv,0.71,1.0,0.71,1.0,0.85,0.02,0.8,1.0,0.81,0.76,0.91,0.92,0.87,0.73
dxengine.csv,0.57,0.95,0.08,0.32,0.63,0.76,0.88,0.85,0.77,0.88,0.7,0.78,0.88,0.74
emono.csv,0.67,0.78,0.55,0.99,0.77,0.84,0.86,0.9,0.88,0.87,0.86,0.75,1.07,0.04
factor.csv,1.0,0.75,1.0,0.74,0.84,1.0,0.66,1.0,0.9,1.0,0.93,0.96,0.09,0.91
jas.csv,0.61,0.95,0.63,0.57,0.92,0.76,0.93,0.92,0.64,0.0,0.89,0.99,0.9,0.7
jmoney.csv,0.1,0.75,0.93,0.78,0.77,0.76,0.7,0.55,0.93,0.88,0.97,0.77,0.96,0.78
jmonkeyengine.csv,0.62,0.9,0.64,0.42,0.0,0.79,0.68,0.86,0.86,0.79,0.77,0.84,0.7,0.77
matrex.csv,0.58,0.82,1.0,0.56,0.89,0.75,0.8,0.02,0.91,0.75,1.0,0.81,0.64,0.97
primefaces.csv,1.07,0.96,0.92,0.93,0.58,0.78,0.87,1.02,0.69,0.59,0.0,0.65,1.05,0.99
roolo.csv,0.71,0.55,0.82,0.64,0.67,1.01,0.84,0.67,0.0,0.85,0.95,0.85,0.91,0.94
sblim.csv,0.86,0.83,1.0,0.05,0.95,0.75,0.93,0.97,0.88,0.89,0.92,0.95,0.39,0.94
